Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
12:00:04.091 AM 2026-09-03 	 122.579045 	 121.390410 	 302.764197 	 294.637195 	 -66457.933386 	 -66457.933386 	 294.916220 	 294.952521
12:00:09.234 AM 2026-09-03 	 121.934437 	 120.906282 	 302.764965 	 294.637655 	 -66457.798116 	 -66457.798116 	 294.907652 	 294.944425
12:00:14.359 AM 2026-09-03 	 122.138488 	 121.379830 	 302.766961 	 294.638421 	 -66457.435356 	 -66457.435356 	 294.905225 	 294.917483
12:00:19.462 AM 2026-09-03 	 122.291211 	 121.075298 	 302.768651 	 294.639034 	 -66457.312389 	 -66457.312389 	 294.917451 	 294.923580
12:00:24.599 AM 2026-09-03 	 122.386569 	 120.369258 	 302.769418 	 294.639034 	 -66457.103351 	 -66457.103351 	 294.918010 	 294.937339
12:00:29.702 AM 2026-09-03 	 121.899716 	 121.472273 	 302.769726 	 294.639800 	 -66456.795949 	 -66456.795949 	 294.898837 	 294.930896
12:00:34.800 AM 2026-09-03 	 122.607728 	 121.061444 	 302.770033 	 294.640260 	 -66456.660695 	 -66456.660695 	 294.904413 	 294.919028
12:00:39.924 AM 2026-09-03 	 123.174339 	 121.250108 	 302.769572 	 294.641180 	 -66456.537739 	 -66456.537739 	 294.913339 	 294.921353
12:00:45.042 AM 2026-09-03 	 122.808759 	 120.844317 	 302.771108 	 294.640873 	 -66456.396342 	 -66456.396342 	 294.897202 	 294.932561
12:00:50.132 AM 2026-09-03 	 122.945380 	 121.635748 	 302.771568 	 294.640260 	 -66456.248799 	 -66456.248799 	 294.913571 	 294.941386
12:00:55.238 AM 2026-09-03 	 122.499287 	 121.240285 	 302.771108 	 294.639647 	 -66456.230356 	 -66456.230356 	 294.907366 	 294.926696
12:01:00.376 AM 2026-09-03 	 122.661320 	 121.588645 	 302.772336 	 294.640873 	 -66456.107406 	 -66456.107406 	 294.905920 	 294.946936
