Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
12:00:01.340 AM 2026-09-10 	 160.165339 	 159.532476 	 301.493831 	 296.289620 	 -66387.104429 	 384.967880 	 296.562973 	 296.386762
12:00:06.495 AM 2026-09-10 	 160.813218 	 159.004772 	 301.503502 	 296.288853 	 -66386.964009 	 384.994230 	 296.555823 	 296.389479
12:00:11.623 AM 2026-09-10 	 160.672823 	 159.776303 	 301.516857 	 296.289160 	 -66386.799171 	 385.026103 	 296.557499 	 296.373296
12:00:16.782 AM 2026-09-10 	 160.153765 	 159.587892 	 301.526528 	 296.289313 	 -66386.677071 	 385.069738 	 296.554182 	 296.373268
12:00:21.903 AM 2026-09-10 	 160.420213 	 160.050861 	 301.538348 	 296.290386 	 -66386.609917 	 385.065899 	 296.560485 	 296.389443
12:00:26.992 AM 2026-09-10 	 160.392285 	 160.301489 	 301.548634 	 296.296212 	 -66386.670966 	 385.090143 	 296.569191 	 296.367133
12:00:32.117 AM 2026-09-10 	 160.653953 	 160.295444 	 301.561682 	 296.300658 	 -66386.603812 	 385.118346 	 296.571736 	 296.379548
12:00:37.274 AM 2026-09-10 	 160.223460 	 160.154638 	 301.572428 	 296.302958 	 -66386.646546 	 385.157743 	 296.561574 	 296.351993
12:00:42.371 AM 2026-09-10 	 160.644644 	 159.309052 	 301.584401 	 296.307710 	 -66386.640441 	 385.202974 	 296.558261 	 296.361838
12:00:47.486 AM 2026-09-10 	 160.257426 	 158.529460 	 301.595301 	 296.312156 	 -66386.487819 	 385.210852 	 296.555759 	 296.356045
12:00:52.587 AM 2026-09-10 	 161.180811 	 159.274795 	 301.606354 	 296.312923 	 -66386.426770 	 385.224656 	 296.547523 	 296.360496
12:00:57.733 AM 2026-09-10 	 161.210752 	 159.917864 	 301.617407 	 296.311696 	 -66386.445085 	 385.254751 	 296.552296 	 296.369501
12:01:02.867 AM 2026-09-10 	 160.764910 	 160.676549 	 301.626310 	 296.309703 	 -66386.280256 	 385.265390 	 296.557261 	 296.368828
12:01:07.961 AM 2026-09-10 	 160.349513 	 159.732223 	 301.635061 	 296.312156 	 -66386.164267 	 385.261783 	 296.542693 	 296.377754
12:01:13.095 AM 2026-09-10 	 159.859138 	 159.286130 	 301.644886 	 296.310777 	 -66386.097116 	 385.273162 	 296.560742 	 296.371840
12:01:18.184 AM 2026-09-10 	 161.613569 	 159.987385 	 301.653482 	 296.309857 	 -66385.859040 	 385.289151 	 296.546145 	 296.376038
12:01:23.336 AM 2026-09-10 	 161.422853 	 159.888645 	 301.663154 	 296.306484 	 -66385.553823 	 385.274475 	 296.548189 	 296.359282
12:01:28.460 AM 2026-09-10 	 161.263085 	 159.267743 	 301.672825 	 296.302651 	 -66385.260824 	 385.308291 	 296.559678 	 296.366076
12:01:33.613 AM 2026-09-10 	 159.812339 	 160.146578 	 301.684646 	 296.298818 	 -66384.900692 	 385.289021 	 296.565256 	 296.349565
12:01:38.717 AM 2026-09-10 	 161.586144 	 159.347339 	 301.694625 	 296.294526 	 -66384.619920 	 385.336891 	 296.537800 	 296.366279
12:01:43.871 AM 2026-09-10 	 160.961916 	 159.948343 	 301.706752 	 296.290539 	 -66384.357467 	 385.379217 	 296.548005 	 296.349227
12:01:49.005 AM 2026-09-10 	 161.381590 	 159.648848 	 301.717499 	 296.289620 	 -66384.064505 	 385.394212 	 296.548688 	 296.359782
12:01:54.114 AM 2026-09-10 	 161.075137 	 159.692173 	 301.726556 	 296.289773 	 -66383.704419 	 385.413777 	 296.556145 	 296.352671
12:01:59.252 AM 2026-09-10 	 161.125207 	 159.244821 	 301.737763 	 296.290386 	 -66383.435889 	 385.422051 	 296.554580 	 296.361445
12:02:04.419 AM 2026-09-10 	 160.573692 	 159.318624 	 301.748817 	 296.292073 	 -66383.045313 	 385.470331 	 296.528085 	 296.357500
