Timestamp	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
11:33:27.631 AM 2026-08-04 	 4.028723 	 297.647000 	 44.546000 	 -106.455075 	 4.013924 	 297.647000 	 44.546000 	 -106.455075 	 108.703599 	 108.864648 	 298.685415
11:33:32.763 AM 2026-08-04 	 4.023662 	 297.647000 	 44.546000 	 -106.821836 	 4.014777 	 297.647000 	 44.546000 	 -106.821836 	 108.703837 	 108.864410 	 298.685192
11:33:37.918 AM 2026-08-04 	 4.022471 	 297.647000 	 44.546000 	 -107.043917 	 4.017253 	 297.647000 	 44.546000 	 -107.043917 	 108.703718 	 108.865005 	 298.684919
11:33:43.062 AM 2026-08-04 	 4.031942 	 297.647000 	 44.546000 	 -106.773200 	 4.023449 	 297.647000 	 44.546000 	 -106.773200 	 108.704075 	 108.864290 	 298.685340
11:33:48.138 AM 2026-08-04 	 4.024543 	 297.647000 	 44.546000 	 -106.015592 	 4.011691 	 297.647000 	 44.546000 	 -106.015592 	 108.703718 	 108.865482 	 298.684919
11:33:53.301 AM 2026-08-04 	 4.018647 	 297.647000 	 44.546000 	 -106.372352 	 4.016129 	 297.647000 	 44.546000 	 -106.372352 	 108.703718 	 108.866852 	 298.684919
11:33:58.415 AM 2026-08-04 	 4.013656 	 297.647000 	 44.546000 	 -107.326741 	 4.011221 	 297.647000 	 44.546000 	 -107.326741 	 108.703837 	 108.867805 	 298.684696
11:34:03.575 AM 2026-08-04 	 4.020472 	 297.647000 	 44.546000 	 -107.447111 	 4.011051 	 297.647000 	 44.546000 	 -107.447111 	 108.703897 	 108.868996 	 298.684820
11:34:08.693 AM 2026-08-04 	 4.022442 	 297.647000 	 44.546000 	 -107.929820 	 4.010724 	 297.647000 	 44.546000 	 -107.929820 	 108.704195 	 108.870068 	 298.684820
11:34:13.830 AM 2026-08-04 	 4.031452 	 297.647000 	 44.546000 	 -106.736891 	 4.013437 	 297.647000 	 44.546000 	 -106.736891 	 108.704552 	 108.871140 	 298.684746
11:34:18.956 AM 2026-08-04 	 4.023396 	 297.647000 	 44.546000 	 -106.626519 	 4.007749 	 297.647000 	 44.546000 	 -106.626519 	 108.704075 	 108.872570 	 298.684399
11:34:24.089 AM 2026-08-04 	 4.016210 	 297.647000 	 44.546000 	 -106.600979 	 4.018579 	 297.647000 	 44.546000 	 -106.600979 	 108.704373 	 108.874000 	 298.684969
11:34:29.170 AM 2026-08-04 	 4.026551 	 297.647000 	 44.546000 	 -106.757878 	 4.004380 	 297.647000 	 44.546000 	 -106.757878 	 108.704135 	 108.874595 	 298.684746
11:34:34.309 AM 2026-08-04 	 4.031954 	 297.647000 	 44.546000 	 -106.815285 	 4.022079 	 297.647000 	 44.546000 	 -106.815285 	 108.704671 	 108.875131 	 298.684870
11:34:39.452 AM 2026-08-04 	 4.031265 	 297.647000 	 44.546000 	 -107.799453 	 4.010865 	 297.647000 	 44.546000 	 -107.799453 	 108.704671 	 108.875787 	 298.684919
11:34:44.591 AM 2026-08-04 	 4.033903 	 297.647000 	 44.546000 	 -107.410577 	 4.016602 	 297.647000 	 44.546000 	 -107.410577 	 108.704850 	 108.876382 	 298.685167
11:34:49.748 AM 2026-08-04 	 4.022868 	 297.647000 	 44.546000 	 -106.154608 	 4.012748 	 297.647000 	 44.546000 	 -106.154608 	 108.705207 	 108.876382 	 298.685563
11:34:54.890 AM 2026-08-04 	 4.024724 	 297.647000 	 44.546000 	 -106.516810 	 4.009454 	 297.647000 	 44.546000 	 -106.516810 	 108.704552 	 108.876263 	 298.685910
11:35:00.011 AM 2026-08-04 	 4.020515 	 297.647000 	 44.546000 	 -106.339040 	 4.005863 	 297.647000 	 44.546000 	 -106.339040 	 108.705207 	 108.876621 	 298.685662
11:35:05.144 AM 2026-08-04 	 4.019751 	 297.647000 	 44.546000 	 -106.106086 	 4.009691 	 297.647000 	 44.546000 	 -106.106086 	 108.704671 	 108.876382 	 298.685241
11:35:10.259 AM 2026-08-04 	 4.032333 	 297.647000 	 44.546000 	 -106.552344 	 4.005679 	 297.647000 	 44.546000 	 -106.552344 	 108.705445 	 108.877216 	 298.685117
11:35:15.399 AM 2026-08-04 	 4.018075 	 297.647000 	 44.546000 	 -106.575552 	 4.015644 	 297.647000 	 44.546000 	 -106.575552 	 108.705386 	 108.878169 	 298.685068
11:35:20.533 AM 2026-08-04 	 4.015349 	 297.647000 	 44.546000 	 -106.506042 	 4.015930 	 297.647000 	 44.546000 	 -106.506042 	 108.705326 	 108.878110 	 298.684746
11:35:25.660 AM 2026-08-04 	 4.024196 	 297.647000 	 44.546000 	 -106.214346 	 4.018307 	 297.647000 	 44.546000 	 -106.214346 	 108.705564 	 108.878110 	 298.685167
11:35:30.821 AM 2026-08-04 	 4.031560 	 297.647000 	 44.546000 	 -105.436772 	 4.008622 	 297.647000 	 44.546000 	 -105.436772 	 108.705148 	 108.878229 	 298.685192
11:35:35.962 AM 2026-08-04 	 4.022127 	 297.647000 	 44.546000 	 -106.235332 	 4.016771 	 297.647000 	 44.546000 	 -106.235332 	 108.705386 	 108.877693 	 298.685167
11:35:41.095 AM 2026-08-04 	 4.027903 	 297.647000 	 44.546000 	 -106.095094 	 4.005895 	 297.647000 	 44.546000 	 -106.095094 	 108.705326 	 108.877574 	 298.685018
11:35:46.227 AM 2026-08-04 	 4.036273 	 297.647000 	 44.546000 	 -106.950088 	 4.009346 	 297.647000 	 44.546000 	 -106.950088 	 108.705505 	 108.878169 	 298.684671
11:35:51.353 AM 2026-08-04 	 4.023425 	 297.647000 	 44.546000 	 -107.523509 	 4.021548 	 297.647000 	 44.546000 	 -107.523509 	 108.705207 	 108.878705 	 298.684052
11:35:56.491 AM 2026-08-04 	 4.025457 	 297.647000 	 44.546000 	 -106.765874 	 4.016266 	 297.647000 	 44.546000 	 -106.765874 	 108.705743 	 108.879301 	 298.683631
11:36:01.645 AM 2026-08-04 	 4.028320 	 297.647000 	 44.546000 	 -106.484279 	 4.009174 	 297.647000 	 44.546000 	 -106.484279 	 108.706101 	 108.879420 	 298.683358
