Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
1:10:50.461 AM 2026-08-02 	 1.144372 	 0.596493 	 295.790330 	 295.358543 	 -66354.648899 	 -66354.648899 	 295.418557 	 295.310226
1:10:55.586 AM 2026-08-02 	 2.116316 	 -0.073528 	 295.788951 	 295.356704 	 -66354.813106 	 -66354.813106 	 295.419700 	 295.293940
1:11:00.723 AM 2026-08-02 	 1.763316 	 0.155942 	 295.790024 	 295.356244 	 -66354.752289 	 -66354.752289 	 295.417096 	 295.296517
1:11:05.848 AM 2026-08-02 	 1.891382 	 0.741832 	 295.789564 	 295.354098 	 -66354.946907 	 -66354.946907 	 295.419305 	 295.312388
1:11:10.982 AM 2026-08-02 	 1.834772 	 0.535032 	 295.790177 	 295.350420 	 -66354.995562 	 -66354.995562 	 295.404905 	 295.288091
1:11:16.116 AM 2026-08-02 	 0.939566 	 1.482633 	 295.788798 	 295.347508 	 -66355.086791 	 -66355.086791 	 295.418936 	 295.305894
1:11:21.254 AM 2026-08-02 	 2.042344 	 0.027983 	 295.788338 	 295.346588 	 -66355.098955 	 -66355.098955 	 295.419457 	 295.321489
1:11:26.388 AM 2026-08-02 	 2.761679 	 0.140325 	 295.787878 	 295.346435 	 -66355.214513 	 -66355.214513 	 295.406272 	 295.302178
1:11:31.527 AM 2026-08-02 	 1.461644 	 0.721429 	 295.789104 	 295.344596 	 -66355.287498 	 -66355.287498 	 295.410809 	 295.310013
1:11:36.712 AM 2026-08-02 	 1.710731 	 0.318409 	 295.787725 	 295.343676 	 -66355.403059 	 -66355.403059 	 295.415992 	 295.309073
1:11:41.879 AM 2026-08-02 	 2.100968 	 -0.588134 	 295.788798 	 295.341684 	 -66355.403059 	 -66355.403059 	 295.400921 	 295.289759
1:11:46.991 AM 2026-08-02 	 2.506553 	 -0.221134 	 295.787878 	 295.339538 	 -66355.463881 	 -66355.463881 	 295.395518 	 295.298959
1:11:52.140 AM 2026-08-02 	 2.159088 	 0.650145 	 295.788031 	 295.338925 	 -66355.585526 	 -66355.585526 	 295.411087 	 295.325836
1:11:57.249 AM 2026-08-02 	 2.022468 	 0.581128 	 295.787418 	 295.338005 	 -66355.804491 	 -66355.804491 	 295.412925 	 295.305535
1:12:02.395 AM 2026-08-02 	 2.034796 	 0.839061 	 295.787418 	 295.337086 	 -66355.907893 	 -66355.907893 	 295.408168 	 295.288057
1:12:07.547 AM 2026-08-02 	 2.457742 	 0.509088 	 295.786959 	 295.338312 	 -66356.242437 	 -66356.242437 	 295.420839 	 295.291782
1:12:12.704 AM 2026-08-02 	 1.927110 	 1.096993 	 295.786193 	 295.337699 	 -66356.424920 	 -66356.424920 	 295.412638 	 295.309958
1:12:17.837 AM 2026-08-02 	 2.040080 	 0.483144 	 295.787112 	 295.337392 	 -66356.643904 	 -66356.643904 	 295.408354 	 295.293425
1:12:22.976 AM 2026-08-02 	 0.991648 	 0.149393 	 295.786805 	 295.337852 	 -66356.935892 	 -66356.935892 	 295.410020 	 295.313934
1:12:28.118 AM 2026-08-02 	 1.925600 	 0.839564 	 295.786193 	 295.335860 	 -66357.075806 	 -66357.075806 	 295.416244 	 295.302259
1:12:33.269 AM 2026-08-02 	 1.368550 	 0.400021 	 295.786039 	 295.334327 	 -66357.258305 	 -66357.258305 	 295.410397 	 295.299709
1:12:38.416 AM 2026-08-02 	 1.895911 	 0.345109 	 295.785886 	 295.333254 	 -66357.495560 	 -66357.495560 	 295.403362 	 295.289845
1:12:43.540 AM 2026-08-02 	 1.582413 	 1.062989 	 295.785273 	 295.333714 	 -66357.580729 	 -66357.580729 	 295.415955 	 295.289723
1:12:48.703 AM 2026-08-02 	 2.460006 	 0.632009 	 295.785273 	 295.332335 	 -66357.726736 	 -66357.726736 	 295.396301 	 295.277130
1:12:53.853 AM 2026-08-02 	 1.201234 	 0.039570 	 295.785273 	 295.332028 	 -66357.878829 	 -66357.878829 	 295.403046 	 295.297538
1:12:58.977 AM 2026-08-02 	 2.141476 	 -0.499470 	 295.786039 	 295.331722 	 -66358.012673 	 -66358.012673 	 295.402181 	 295.301383
1:13:04.083 AM 2026-08-02 	 1.893395 	 0.804804 	 295.785120 	 295.333254 	 -66358.183023 	 -66358.183023 	 295.412768 	 295.296428
1:13:09.173 AM 2026-08-02 	 2.038319 	 0.614125 	 295.785426 	 295.330802 	 -66358.249947 	 -66358.249947 	 295.406449 	 295.300470
1:13:14.335 AM 2026-08-02 	 2.283381 	 0.202289 	 295.786039 	 295.330495 	 -66358.219527 	 -66358.219527 	 295.406324 	 295.307883
1:13:19.486 AM 2026-08-02 	 2.132922 	 -0.172520 	 295.785273 	 295.330342 	 -66358.292535 	 -66358.292535 	 295.420752 	 295.302058
1:13:24.639 AM 2026-08-02 	 2.624555 	 0.285412 	 295.784813 	 295.328656 	 -66358.432469 	 -66358.432469 	 295.410493 	 295.301689
1:13:29.762 AM 2026-08-02 	 2.056686 	 0.755686 	 295.784813 	 295.329729 	 -66358.499395 	 -66358.499395 	 295.425366 	 295.309028
1:13:34.918 AM 2026-08-02 	 2.565428 	 -0.593927 	 295.784354 	 295.328043 	 -66358.499395 	 -66358.499395 	 295.398521 	 295.306202
1:13:40.066 AM 2026-08-02 	 1.790489 	 0.871050 	 295.784507 	 295.327583 	 -66358.541984 	 -66358.541984 	 295.392573 	 295.271516
1:13:45.201 AM 2026-08-02 	 1.293069 	 0.942335 	 295.784967 	 295.327737 	 -66358.560237 	 -66358.560237 	 295.407719 	 295.287608
1:13:50.303 AM 2026-08-02 	 1.525048 	 0.117403 	 295.784813 	 295.328196 	 -66358.548068 	 -66358.548068 	 295.405785 	 295.285674
