# Mahboub et al. (2026) - Benchtop Conductivity Measurements
#
# Instrument: Thermo Scientific ORION Star A329 Conductivity Meter
# Reference: See Mahboub et al. (2026) manuscript for full methodology
#
# Data description:
# - All measurements from benchtop conductivity probe
# - Gamry impedance data analyzed separately from raw Gamry files
# - Three replicates per condition
# - Temperatures: -10°C, -6°C, -3°C, -1°C, 5°C, 20°C, 25°C
# - Compounds: NaCl, MgSO4, NH4Cl, Na2CO3, Mixture (1:1:1 MgSO4:NaCl:Na2CO3)
#
# Columns:
#   compound: Chemical formula
#   concentration_molal: Molality (mol/kg_H2O)
#   temperature_C: Temperature (Celsius)
#   temperature_K: Temperature (Kelvin)
#   conductivity_Sm: Conductivity (S/m)
#   source: Data source ('benchtop' for all entries)
#   notes: Additional notes (e.g., original concentration in g/kg)
#
compound,concentration_molal,temperature_C,temperature_K,conductivity_Sm,replicate,source,notes
# NaCl benchtop data - concentrations in mol/kg (molal), converted from g/kg by dividing by molar mass 58.44
NaCl,2.5667,-3,270.15,9.216,2,benchtop,
NaCl,0.1711,-3,270.15,0.9547,3,benchtop,
NaCl,0.5133,-3,270.15,2.435,3,benchtop,
NaCl,0.8556,-3,270.15,3.969,3,benchtop,
NaCl,1.2834,-3,270.15,5.497,3,benchtop,
NaCl,1.7112,-3,270.15,7.031,3,benchtop,
NaCl,2.5667,-3,270.15,9.105,3,benchtop,
NaCl,0.1711,-6,267.15,0.8755,1,benchtop,10 g/kg / 58.44
NaCl,0.5133,-6,267.15,2.362,1,benchtop,30 g/kg / 58.44
NaCl,0.8556,-6,267.15,3.553,1,benchtop,50 g/kg / 58.44
NaCl,1.2834,-6,267.15,5.067,1,benchtop,75 g/kg / 58.44
NaCl,1.7112,-6,267.15,6.26,1,benchtop,100 g/kg / 58.44
NaCl,2.5667,-6,267.15,8.479,1,benchtop,150 g/kg / 58.44
NaCl,0.1711,-6,267.15,0.8649,2,benchtop,
NaCl,0.5133,-6,267.15,2.389,2,benchtop,
NaCl,0.8556,-6,267.15,3.504,2,benchtop,
NaCl,1.2834,-6,267.15,5.089,2,benchtop,
NaCl,1.7112,-6,267.15,6.4,2,benchtop,
NaCl,2.5667,-6,267.15,8.579,2,benchtop,
NaCl,0.1711,-6,267.15,0.8542,3,benchtop,
NaCl,0.5133,-6,267.15,2.309,3,benchtop,
NaCl,0.8556,-6,267.15,3.589,3,benchtop,
NaCl,1.2834,-6,267.15,5.186,3,benchtop,
NaCl,1.7112,-6,267.15,6.485,3,benchtop,
NaCl,2.5667,-6,267.15,8.529,3,benchtop,
NaCl,0.1711,-10,263.15,0.7852,1,benchtop,10 g/kg / 58.44
NaCl,0.5133,-10,263.15,2.241,1,benchtop,30 g/kg / 58.44
NaCl,0.8556,-10,263.15,3.226,1,benchtop,50 g/kg / 58.44
NaCl,1.2834,-10,263.15,4.324,1,benchtop,75 g/kg / 58.44
NaCl,1.7112,-10,263.15,5.706,1,benchtop,100 g/kg / 58.44
NaCl,2.5667,-10,263.15,7.576,1,benchtop,150 g/kg / 58.44
NaCl,0.1711,-10,263.15,0.7852,2,benchtop,
NaCl,0.5133,-10,263.15,2.195,2,benchtop,
NaCl,0.8556,-10,263.15,3.187,2,benchtop,
NaCl,1.2834,-10,263.15,4.555,2,benchtop,
NaCl,1.7112,-10,263.15,5.645,2,benchtop,
NaCl,2.5667,-10,263.15,7.925,2,benchtop,
NaCl,0.1711,-10,263.15,0.7852,3,benchtop,
NaCl,0.5133,-10,263.15,2.087,3,benchtop,
NaCl,0.8556,-10,263.15,3.133,3,benchtop,
NaCl,1.2834,-10,263.15,4.473,3,benchtop,
NaCl,1.7112,-10,263.15,5.89,3,benchtop,
NaCl,2.5667,-10,263.15,7.491,3,benchtop,
# MgSO4 benchtop data
MgSO4,0.0249,25,298.15,0.3318,1,benchtop,3 g/kg / 120.366
MgSO4,0.3323,25,298.15,2.501,1,benchtop,40 g/kg / 120.366
MgSO4,0.6646,25,298.15,4.003,1,benchtop,80 g/kg / 120.366
MgSO4,0.9970,25,298.15,4.991,1,benchtop,120 g/kg / 120.366
MgSO4,1.4124,25,298.15,5.652,1,benchtop,170 g/kg / 120.366
MgSO4,1.6616,25,298.15,5.799,1,benchtop,200 g/kg / 120.366
MgSO4,0.0249,25,298.15,0.3443,2,benchtop,
MgSO4,0.3323,25,298.15,2.526,2,benchtop,
MgSO4,0.6646,25,298.15,4.004,2,benchtop,
MgSO4,0.9970,25,298.15,5.015,2,benchtop,
MgSO4,1.4124,25,298.15,5.633,2,benchtop,
MgSO4,1.6616,25,298.15,5.928,2,benchtop,
MgSO4,0.0249,25,298.15,0.3508,3,benchtop,
MgSO4,0.3323,25,298.15,2.544,3,benchtop,
MgSO4,0.6646,25,298.15,4.011,3,benchtop,
MgSO4,0.9970,25,298.15,4.648,3,benchtop,
MgSO4,1.4124,25,298.15,5.656,3,benchtop,
MgSO4,1.6616,25,298.15,5.779,3,benchtop,
MgSO4,0.0249,20,293.15,0.3016,1,benchtop,3 g/kg / 120.366
MgSO4,0.3323,20,293.15,2.274,1,benchtop,40 g/kg / 120.366
MgSO4,0.6646,20,293.15,3.639,1,benchtop,80 g/kg / 120.366
MgSO4,0.9970,20,293.15,4.537,1,benchtop,120 g/kg / 120.366
MgSO4,1.4124,20,293.15,5.138,1,benchtop,170 g/kg / 120.366
MgSO4,1.6616,20,293.15,5.272,1,benchtop,200 g/kg / 120.366
MgSO4,0.0249,20,293.15,0.313,2,benchtop,
MgSO4,0.3323,20,293.15,2.296,2,benchtop,
MgSO4,0.6646,20,293.15,3.64,2,benchtop,
MgSO4,0.9970,20,293.15,4.559,2,benchtop,
MgSO4,1.4124,20,293.15,5.121,2,benchtop,
MgSO4,1.6616,20,293.15,5.389,2,benchtop,
MgSO4,0.0249,20,293.15,0.3189,3,benchtop,
MgSO4,0.3323,20,293.15,2.313,3,benchtop,
MgSO4,0.6646,20,293.15,3.646,3,benchtop,
MgSO4,0.9970,20,293.15,4.225,3,benchtop,
MgSO4,1.4124,20,293.15,5.142,3,benchtop,
MgSO4,1.6616,20,293.15,5.254,3,benchtop,
MgSO4,0.0249,5,278.15,0.2245,1,benchtop,3 g/kg / 120.366
MgSO4,0.3323,5,278.15,1.616,1,benchtop,40 g/kg / 120.366
MgSO4,0.6646,5,278.15,2.505,1,benchtop,80 g/kg / 120.366
MgSO4,0.9970,5,278.15,3.101,1,benchtop,120 g/kg / 120.366
MgSO4,1.4124,5,278.15,3.543,1,benchtop,170 g/kg / 120.366
MgSO4,1.6616,5,278.15,3.571,1,benchtop,200 g/kg / 120.366
MgSO4,0.0249,5,278.15,0.2126,2,benchtop,
MgSO4,0.3323,5,278.15,1.589,2,benchtop,
MgSO4,0.6646,5,278.15,2.531,2,benchtop,
MgSO4,0.9970,5,278.15,3.14,2,benchtop,
MgSO4,1.4124,5,278.15,3.477,2,benchtop,
MgSO4,1.6616,5,278.15,3.529,2,benchtop,
MgSO4,0.0249,5,278.15,0.2255,3,benchtop,
MgSO4,0.3323,5,278.15,1.593,3,benchtop,
MgSO4,0.6646,5,278.15,2.52,3,benchtop,
MgSO4,0.9970,5,278.15,3.092,3,benchtop,
MgSO4,1.4124,5,278.15,3.48,3,benchtop,
MgSO4,1.6616,5,278.15,3.529,3,benchtop,
MgSO4,0.0249,-1,272.15,0.1997,1,benchtop,3 g/kg / 120.366
MgSO4,0.3323,-1,272.15,1.426,1,benchtop,40 g/kg / 120.366
MgSO4,0.6646,-1,272.15,2.1,1,benchtop,80 g/kg / 120.366
MgSO4,0.9970,-1,272.15,2.626,1,benchtop,120 g/kg / 120.366
MgSO4,1.4124,-1,272.15,2.897,1,benchtop,170 g/kg / 120.366
MgSO4,1.6616,-1,272.15,2.986,1,benchtop,200 g/kg / 120.366
MgSO4,0.0249,-1,272.15,0.1836,2,benchtop,
MgSO4,0.3323,-1,272.15,1.355,2,benchtop,
MgSO4,0.6646,-1,272.15,2.101,2,benchtop,
MgSO4,0.9970,-1,272.15,2.653,2,benchtop,
MgSO4,1.4124,-1,272.15,2.932,2,benchtop,
MgSO4,1.6616,-1,272.15,2.989,2,benchtop,
MgSO4,0.0249,-1,272.15,0.1958,3,benchtop,
MgSO4,0.3323,-1,272.15,1.355,3,benchtop,
MgSO4,0.6646,-1,272.15,2.142,3,benchtop,
MgSO4,0.9970,-1,272.15,2.617,3,benchtop,
MgSO4,1.4124,-1,272.15,2.92,3,benchtop,
MgSO4,1.6616,-1,272.15,2.87,3,benchtop,
MgSO4,0.0249,-3,270.15,0.119,1,benchtop,3 g/kg / 120.366
MgSO4,0.3323,-3,270.15,1.31,1,benchtop,40 g/kg / 120.366
MgSO4,0.6646,-3,270.15,1.98,1,benchtop,80 g/kg / 120.366
MgSO4,0.9970,-3,270.15,2.452,1,benchtop,120 g/kg / 120.366
MgSO4,1.4124,-3,270.15,2.78,1,benchtop,170 g/kg / 120.366
MgSO4,1.6616,-3,270.15,2.775,1,benchtop,200 g/kg / 120.366
MgSO4,0.0249,-3,270.15,0.1753,2,benchtop,
MgSO4,0.3323,-3,270.15,1.257,2,benchtop,
MgSO4,0.6646,-3,270.15,1.86,2,benchtop,
MgSO4,0.9970,-3,270.15,2.473,2,benchtop,
MgSO4,1.4124,-3,270.15,2.663,2,benchtop,
MgSO4,1.6616,-3,270.15,2.77,2,benchtop,
MgSO4,0.0249,-3,270.15,0.2106,3,benchtop,
MgSO4,0.3323,-3,270.15,1.272,3,benchtop,
MgSO4,0.6646,-3,270.15,1.962,3,benchtop,
MgSO4,0.9970,-3,270.15,2.489,3,benchtop,
MgSO4,1.4124,-3,270.15,2.869,3,benchtop,
MgSO4,1.6616,-3,270.15,2.785,3,benchtop,
MgSO4,0.0249,-6,267.15,0.1843,1,benchtop,3 g/kg / 120.366
MgSO4,0.3323,-6,267.15,1.205,1,benchtop,40 g/kg / 120.366
MgSO4,0.6646,-6,267.15,1.812,1,benchtop,80 g/kg / 120.366
MgSO4,0.9970,-6,267.15,2.275,1,benchtop,120 g/kg / 120.366
MgSO4,1.4124,-6,267.15,2.442,1,benchtop,170 g/kg / 120.366
MgSO4,1.6616,-6,267.15,2.401,1,benchtop,200 g/kg / 120.366
MgSO4,0.0249,-6,267.15,0.1737,2,benchtop,
MgSO4,0.3323,-6,267.15,1.165,2,benchtop,
MgSO4,0.6646,-6,267.15,1.847,2,benchtop,
MgSO4,0.9970,-6,267.15,2.22,2,benchtop,
MgSO4,1.4124,-6,267.15,2.387,2,benchtop,
MgSO4,1.6616,-6,267.15,2.508,2,benchtop,
MgSO4,0.0249,-6,267.15,0.2086,3,benchtop,
MgSO4,0.3323,-6,267.15,1.147,3,benchtop,
MgSO4,0.6646,-6,267.15,1.804,3,benchtop,
MgSO4,0.9970,-6,267.15,2.184,3,benchtop,
MgSO4,1.4124,-6,267.15,2.488,3,benchtop,
MgSO4,1.6616,-6,267.15,2.505,3,benchtop,
MgSO4,0.0249,-10,263.15,0,1,benchtop,Frozen (below eutectic point)
MgSO4,0.3323,-10,263.15,1.109,1,benchtop,40 g/kg / 120.366
MgSO4,0.6646,-10,263.15,1.55,1,benchtop,80 g/kg / 120.366
MgSO4,0.9970,-10,263.15,2.037,1,benchtop,120 g/kg / 120.366
MgSO4,1.4124,-10,263.15,2.188,1,benchtop,170 g/kg / 120.366
MgSO4,1.6616,-10,263.15,2.231,1,benchtop,200 g/kg / 120.366
MgSO4,0.0249,-10,263.15,0,2,benchtop,
MgSO4,0.3323,-10,263.15,1.109,2,benchtop,
MgSO4,0.6646,-10,263.15,1.55,2,benchtop,
MgSO4,0.9970,-10,263.15,2.037,2,benchtop,
MgSO4,1.4124,-10,263.15,2.187,2,benchtop,
MgSO4,1.6616,-10,263.15,2.198,2,benchtop,
MgSO4,0.0249,-10,263.15,0,3,benchtop,
MgSO4,0.3323,-10,263.15,1.109,3,benchtop,
MgSO4,0.6646,-10,263.15,1.55,3,benchtop,
MgSO4,0.9970,-10,263.15,2.037,3,benchtop,
MgSO4,1.4124,-10,263.15,2.161,3,benchtop,
MgSO4,1.6616,-10,263.15,2.277,3,benchtop,
# NH4Cl benchtop data
NH4Cl,0.1869,25,298.15,2.333,1,benchtop,10 g/kg / 53.491
