# Mahboub et al. (2026) - Benchtop Conductivity Measurements
#
# Instrument: Thermo Scientific ORION Star A329 Conductivity Meter
# Reference: See Mahboub et al. (2026) manuscript for full methodology
#
# Data description:
# - All measurements from benchtop conductivity probe
# - Gamry impedance data analyzed separately from raw Gamry files
# - Three replicates per condition
# - Temperatures: -10°C, -6°C, -3°C, -1°C, 5°C, 20°C, 25°C
# - Compounds: NaCl, MgSO4, NH4Cl, Na2CO3, Mixture (1:1:1 MgSO4:NaCl:Na2CO3)
#
# Columns:
#   compound: Chemical formula
#   concentration_molal: Molality (mol/kg_H2O)
#   temperature_C: Temperature (Celsius)
#   temperature_K: Temperature (Kelvin)
#   conductivity_Sm: Conductivity (S/m)
#   source: Data source ('benchtop' for all entries)
#   notes: Additional notes (e.g., original concentration in g/kg)
#
compound,concentration_molal,temperature_C,temperature_K,conductivity_Sm,replicate,source,notes
# NaCl benchtop data - concentrations in mol/kg (molal), converted from g/kg by dividing by molar mass 58.44
Na2CO3,0.3774,20,293.15,3.973,2,benchtop,
Na2CO3,0.5189,20,293.15,4.976,2,benchtop,
Na2CO3,0.0472,20,293.15,0.756,3,benchtop,
Na2CO3,0.0943,20,293.15,1.324,3,benchtop,
Na2CO3,0.2359,20,293.15,2.792,3,benchtop,
Na2CO3,0.3774,20,293.15,3.949,3,benchtop,
Na2CO3,0.5189,20,293.15,4.92,3,benchtop,
Na2CO3,0.0472,5,278.15,0.521,1,benchtop,5 g/kg / 105.9888
Na2CO3,0.0943,5,278.15,0.9306,1,benchtop,10 g/kg / 105.9888
Na2CO3,0.2359,5,278.15,1.894,1,benchtop,25 g/kg / 105.9888
Na2CO3,0.3774,5,278.15,2.691,1,benchtop,40 g/kg / 105.9888
Na2CO3,0.5189,5,278.15,3.379,1,benchtop,55 g/kg / 105.9888
Na2CO3,0.0472,5,278.15,0.5123,2,benchtop,
Na2CO3,0.0943,5,278.15,0.9099,2,benchtop,
Na2CO3,0.2359,5,278.15,1.9,2,benchtop,
Na2CO3,0.3774,5,278.15,2.67,2,benchtop,
Na2CO3,0.5189,5,278.15,3.397,2,benchtop,
Na2CO3,0.0472,5,278.15,0.5095,3,benchtop,
Na2CO3,0.0943,5,278.15,0.9031,3,benchtop,
Na2CO3,0.2359,5,278.15,1.898,3,benchtop,
Na2CO3,0.3774,5,278.15,2.67,3,benchtop,
Na2CO3,0.5189,5,278.15,3.384,3,benchtop,
Na2CO3,0.0472,-1,272.15,0.6495,1,benchtop,5 g/kg / 105.9888
Na2CO3,0.0943,-1,272.15,1.172,1,benchtop,10 g/kg / 105.9888
Na2CO3,0.2359,-1,272.15,2.434,1,benchtop,25 g/kg / 105.9888
Na2CO3,0.3774,-1,272.15,3.544,1,benchtop,40 g/kg / 105.9888
Na2CO3,0.5189,-1,272.15,4.356,1,benchtop,55 g/kg / 105.9888
Na2CO3,0.0472,-1,272.15,0.6531,2,benchtop,
Na2CO3,0.0943,-1,272.15,1.169,2,benchtop,
Na2CO3,0.2359,-1,272.15,2.472,2,benchtop,
Na2CO3,0.3774,-1,272.15,3.478,2,benchtop,
Na2CO3,0.5189,-1,272.15,4.361,2,benchtop,
Na2CO3,0.0472,-1,272.15,0.6624,3,benchtop,
Na2CO3,0.0943,-1,272.15,1.159,3,benchtop,
Na2CO3,0.2359,-1,272.15,2.446,3,benchtop,
Na2CO3,0.3774,-1,272.15,3.457,3,benchtop,
Na2CO3,0.5189,-1,272.15,4.304,3,benchtop,
Na2CO3,0.0472,-3,270.15,0.6142,1,benchtop,5 g/kg / 105.9888
Na2CO3,0.0943,-3,270.15,1.109,1,benchtop,10 g/kg / 105.9888
Na2CO3,0.2359,-3,270.15,2.303,1,benchtop,25 g/kg / 105.9888
Na2CO3,0.3774,-3,270.15,3.357,1,benchtop,40 g/kg / 105.9888
Na2CO3,0.5189,-3,270.15,4.126,1,benchtop,55 g/kg / 105.9888
Na2CO3,0.0472,-3,270.15,0.6176,2,benchtop,
Na2CO3,0.0943,-3,270.15,1.106,2,benchtop,
Na2CO3,0.2359,-3,270.15,2.339,2,benchtop,
Na2CO3,0.3774,-3,270.15,3.295,2,benchtop,
Na2CO3,0.5189,-3,270.15,4.131,2,benchtop,
Na2CO3,0.0472,-3,270.15,0.6262,3,benchtop,
Na2CO3,0.0943,-3,270.15,1.097,3,benchtop,
Na2CO3,0.2359,-3,270.15,2.314,3,benchtop,
Na2CO3,0.3774,-3,270.15,3.274,3,benchtop,
Na2CO3,0.5189,-3,270.15,4.077,3,benchtop,
Na2CO3,0.0472,-6,267.15,0.3971,1,benchtop,5 g/kg / 105.9888
Na2CO3,0.0943,-6,267.15,0.6548,1,benchtop,10 g/kg / 105.9888
Na2CO3,0.2359,-6,267.15,1.399,1,benchtop,25 g/kg / 105.9888
Na2CO3,0.3774,-6,267.15,1.959,1,benchtop,40 g/kg / 105.9888
Na2CO3,0.5189,-6,267.15,2.434,1,benchtop,55 g/kg / 105.9888
Na2CO3,0.0472,-6,267.15,0.3785,2,benchtop,
Na2CO3,0.0943,-6,267.15,0.6521,2,benchtop,
Na2CO3,0.2359,-6,267.15,1.431,2,benchtop,
Na2CO3,0.3774,-6,267.15,1.981,2,benchtop,
Na2CO3,0.5189,-6,267.15,2.411,2,benchtop,
Na2CO3,0.0472,-6,267.15,0.3602,3,benchtop,
Na2CO3,0.0943,-6,267.15,0.6574,3,benchtop,
Na2CO3,0.2359,-6,267.15,1.387,3,benchtop,
Na2CO3,0.3774,-6,267.15,1.93,3,benchtop,
Na2CO3,0.5189,-6,267.15,2.409,3,benchtop,
Na2CO3,0.0472,-10,263.15,0.2965,1,benchtop,5 g/kg / 105.9888
Na2CO3,0.0943,-10,263.15,0.5352,1,benchtop,10 g/kg / 105.9888
Na2CO3,0.2359,-10,263.15,1.111,1,benchtop,25 g/kg / 105.9888
Na2CO3,0.3774,-10,263.15,1.619,1,benchtop,40 g/kg / 105.9888
Na2CO3,0.5189,-10,263.15,1.988,1,benchtop,55 g/kg / 105.9888
Na2CO3,0.0472,-10,263.15,0.2981,2,benchtop,
Na2CO3,0.0943,-10,263.15,0.534,2,benchtop,
Na2CO3,0.2359,-10,263.15,1.128,2,benchtop,
Na2CO3,0.3774,-10,263.15,1.589,2,benchtop,
Na2CO3,0.5189,-10,263.15,1.99,2,benchtop,
Na2CO3,0.0472,-10,263.15,0.3024,3,benchtop,
Na2CO3,0.0943,-10,263.15,0.5296,3,benchtop,
Na2CO3,0.2359,-10,263.15,1.117,3,benchtop,
Na2CO3,0.3774,-10,263.15,1.58,3,benchtop,
Na2CO3,0.5189,-10,263.15,1.968,3,benchtop,
# Mixture data (1:1:1 MgSO4:NaCl:Na2CO3 by molality)
Mixture,0.05,25,298.15,1.516,1,benchtop,
Mixture,0.10,25,298.15,2.802,1,benchtop,
Mixture,0.40,25,298.15,7.269,1,benchtop,
Mixture,0.70,25,298.15,6.246,1,benchtop,
Mixture,0.05,25,298.15,1.502,2,benchtop,
Mixture,0.10,25,298.15,2.673,2,benchtop,
Mixture,0.40,25,298.15,7.371,2,benchtop,
Mixture,0.70,25,298.15,6.642,2,benchtop,
Mixture,0.05,25,298.15,1.519,3,benchtop,
Mixture,0.10,25,298.15,2.639,3,benchtop,
Mixture,0.40,25,298.15,7.413,3,benchtop,
Mixture,0.70,25,298.15,6.523,3,benchtop,
Mixture,0.05,20,293.15,1.378,1,benchtop,
Mixture,0.10,20,293.15,2.547,1,benchtop,
Mixture,0.40,20,293.15,6.608,1,benchtop,
Mixture,0.70,20,293.15,5.678,1,benchtop,
Mixture,0.05,20,293.15,1.365,2,benchtop,
Mixture,0.10,20,293.15,2.43,2,benchtop,
Mixture,0.40,20,293.15,6.701,2,benchtop,
Mixture,0.70,20,293.15,6.038,2,benchtop,
Mixture,0.05,20,293.15,1.381,3,benchtop,
Mixture,0.10,20,293.15,2.399,3,benchtop,
Mixture,0.40,20,293.15,6.739,3,benchtop,
Mixture,0.70,20,293.15,5.93,3,benchtop,
Mixture,0.05,-1,272.15,0.8364,1,benchtop,
Mixture,0.10,-1,272.15,1.524,1,benchtop,
Mixture,0.40,-1,272.15,3.984,1,benchtop,
Mixture,0.70,-1,272.15,3.569,1,benchtop,
Mixture,0.05,-1,272.15,0.8526,2,benchtop,
Mixture,0.10,-1,272.15,1.576,2,benchtop,
Mixture,0.40,-1,272.15,4.061,2,benchtop,
Mixture,0.70,-1,272.15,3.517,2,benchtop,
Mixture,0.05,-1,272.15,0.8433,3,benchtop,
Mixture,0.10,-1,272.15,1.468,3,benchtop,
Mixture,0.40,-1,272.15,4.021,3,benchtop,
Mixture,0.70,-1,272.15,3.64,3,benchtop,
Mixture,0.05,-10,263.15,0.6665,1,benchtop,
Mixture,0.10,-10,263.15,1.181,1,benchtop,
Mixture,0.40,-10,263.15,3.222,1,benchtop,
Mixture,0.70,-10,263.15,3.156,1,benchtop,
Mixture,0.05,-10,263.15,0.6665,2,benchtop,
Mixture,0.10,-10,263.15,1.09,2,benchtop,
Mixture,0.40,-10,263.15,3.313,2,benchtop,
Mixture,0.70,-10,263.15,2.842,2,benchtop,
Mixture,0.05,-10,263.15,0.6665,3,benchtop,
Mixture,0.10,-10,263.15,1.135,3,benchtop,
Mixture,0.40,-10,263.15,3.331,3,benchtop,
Mixture,0.70,-10,263.15,3.263,3,benchtop,
