Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
12:00:02.252 AM 2026-08-03 	 2.373958 	 0.381633 	 295.776538 	 295.515492 	 -66354.016425 	 -66354.016425 	 295.481897 	 295.352386
12:00:07.378 AM 2026-08-03 	 1.472966 	 0.534781 	 295.776538 	 295.515952 	 -66354.119807 	 -66354.119807 	 295.459717 	 295.346685
12:00:12.511 AM 2026-08-03 	 1.306656 	 0.695737 	 295.776079 	 295.514419 	 -66354.144132 	 -66354.144132 	 295.447573 	 295.339720
12:00:17.612 AM 2026-08-03 	 1.658649 	 1.643086 	 295.776845 	 295.514266 	 -66354.338738 	 -66354.338738 	 295.491221 	 295.338161
12:00:22.758 AM 2026-08-03 	 1.089019 	 0.257704 	 295.775619 	 295.514879 	 -66354.460369 	 -66354.460369 	 295.472883 	 295.355616
12:00:27.906 AM 2026-08-03 	 1.496365 	 0.203045 	 295.775313 	 295.513346 	 -66354.557674 	 -66354.557674 	 295.485525 	 295.346122
12:00:33.068 AM 2026-08-03 	 1.499384 	 0.945105 	 295.775925 	 295.513806 	 -66354.642818 	 -66354.642818 	 295.462799 	 295.365312
12:00:38.200 AM 2026-08-03 	 1.262625 	 0.441078 	 295.775619 	 295.513193 	 -66354.594164 	 -66354.594164 	 295.479552 	 295.340620
12:00:43.344 AM 2026-08-03 	 1.450825 	 0.797499 	 295.775313 	 295.511660 	 -66354.448206 	 -66354.448206 	 295.477072 	 295.347559
12:00:48.483 AM 2026-08-03 	 1.939942 	 1.123945 	 295.775313 	 295.512274 	 -66354.448206 	 -66354.448206 	 295.496849 	 295.350385
12:00:53.658 AM 2026-08-03 	 1.465669 	 1.623438 	 295.775006 	 295.512120 	 -66354.198865 	 -66354.198865 	 295.493945 	 295.347009
12:00:58.805 AM 2026-08-03 	 1.689848 	 0.707575 	 295.774700 	 295.511814 	 -66354.186702 	 -66354.186702 	 295.488715 	 295.334712
12:01:03.915 AM 2026-08-03 	 2.423272 	 0.063499 	 295.774546 	 295.511814 	 -66354.107644 	 -66354.107644 	 295.486038 	 295.344281
12:01:09.021 AM 2026-08-03 	 2.659025 	 0.864501 	 295.774546 	 295.511660 	 -66353.852231 	 -66353.852231 	 295.484522 	 295.346532
