Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
12:00:00.898 AM 2026-08-13 	 1.933149 	 0.472312 	 295.541478 	 294.951951 	 -66312.850795 	 -66312.850795 	 295.005210 	 294.944872
12:00:05.974 AM 2026-08-13 	 2.926228 	 0.240828 	 295.540865 	 294.952411 	 -66312.953728 	 -66312.953728 	 294.991020 	 294.945294
12:00:11.048 AM 2026-08-13 	 2.257717 	 0.403799 	 295.540865 	 294.952718 	 -66313.056662 	 -66313.056662 	 295.003226 	 294.941944
12:00:16.131 AM 2026-08-13 	 2.830618 	 0.936793 	 295.540252 	 294.953944 	 -66313.092992 	 -66313.092992 	 294.998661 	 294.953407
12:00:21.202 AM 2026-08-13 	 1.973657 	 0.746114 	 295.539945 	 294.955476 	 -66313.208038 	 -66313.208038 	 295.012802 	 294.933608
12:00:26.273 AM 2026-08-13 	 0.950637 	 1.163996 	 295.541478 	 294.955476 	 -66313.280700 	 -66313.280700 	 295.002259 	 294.936263
12:00:31.352 AM 2026-08-13 	 1.866222 	 0.762235 	 295.541171 	 294.956242 	 -66313.238314 	 -66313.238314 	 294.989358 	 294.945517
12:00:36.441 AM 2026-08-13 	 2.985103 	 0.675838 	 295.541018 	 294.957009 	 -66313.256479 	 -66313.256479 	 295.000745 	 294.955963
12:00:41.535 AM 2026-08-13 	 2.237840 	 1.368780 	 295.541325 	 294.957315 	 -66313.183818 	 -66313.183818 	 295.011289 	 294.941994
12:00:46.625 AM 2026-08-13 	 1.655881 	 0.285916 	 295.541018 	 294.957468 	 -66313.153543 	 -66313.153543 	 295.020592 	 294.976754
12:00:51.719 AM 2026-08-13 	 1.644056 	 0.961982 	 295.540405 	 294.958235 	 -66313.141433 	 -66313.141433 	 294.992260 	 294.972934
12:00:56.819 AM 2026-08-13 	 2.082098 	 1.353919 	 295.541171 	 294.958541 	 -66313.099047 	 -66313.099047 	 295.009527 	 294.952961
12:01:01.917 AM 2026-08-13 	 3.048759 	 0.860471 	 295.541478 	 294.959614 	 -66313.117212 	 -66313.117212 	 295.000174 	 294.952092
12:01:07.017 AM 2026-08-13 	 2.134935 	 0.750900 	 295.540252 	 294.961759 	 -66312.990058 	 -66312.990058 	 294.993997 	 294.961471
12:01:12.104 AM 2026-08-13 	 2.335211 	 0.700019 	 295.541325 	 294.962832 	 -66313.008222 	 -66313.008222 	 295.003027 	 294.959188
12:01:17.187 AM 2026-08-13 	 2.229789 	 0.093474 	 295.541018 	 294.963138 	 -66313.026387 	 -66313.026387 	 295.004516 	 294.938992
