Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
11:57:12.021 AM 6/24/2026 	 1.570588 	 0.293724 	 294.728549 	 295.670456 	 -66460.908964 	 -66460.908964 	 295.092899 	 295.298801
11:57:17.224 AM 6/24/2026 	 0.933528 	 0.707827 	 294.728856 	 295.669997 	 -66460.779792 	 -66460.779792 	 295.123945 	 295.310050
11:57:22.318 AM 6/24/2026 	 1.356222 	 0.503798 	 294.729621 	 295.670763 	 -66460.693678 	 -66460.693678 	 295.115582 	 295.313938
11:57:27.412 AM 6/24/2026 	 1.702428 	 -0.361939 	 294.729621 	 295.672296 	 -66460.595263 	 -66460.595263 	 295.096329 	 295.301759
11:57:32.488 AM 6/24/2026 	 2.145250 	 0.637047 	 294.729928 	 295.676741 	 -66460.478397 	 -66460.478397 	 295.096322 	 295.306934
11:57:37.566 AM 6/24/2026 	 0.738535 	 -0.816092 	 294.730081 	 295.676894 	 -66460.293874 	 -66460.293874 	 295.097452 	 295.293461
11:57:42.651 AM 6/24/2026 	 1.125501 	 0.705308 	 294.730541 	 295.676741 	 -66460.121656 	 -66460.121656 	 295.086380 	 295.287104
11:57:47.729 AM 6/24/2026 	 0.847479 	 0.762235 	 294.730847 	 295.677047 	 -66459.807981 	 -66459.807981 	 295.126568 	 295.288177
11:57:52.803 AM 6/24/2026 	 2.230292 	 0.592463 	 294.730847 	 295.678120 	 -66459.605021 	 -66459.605021 	 295.093692 	 295.302421
11:57:57.900 AM 6/24/2026 	 1.924846 	 1.076842 	 294.732532 	 295.679500 	 -66459.309813 	 -66459.309813 	 295.145736 	 295.296033
11:58:03.006 AM 6/24/2026 	 0.818797 	 0.113373 	 294.729775 	 295.683639 	 -66458.946967 	 -66458.946967 	 295.109381 	 295.286070
11:58:08.122 AM 6/24/2026 	 0.372452 	 0.542589 	 294.731153 	 295.684252 	 -66458.707127 	 -66458.707127 	 295.117825 	 295.313825
11:58:13.202 AM 6/24/2026 	 0.827351 	 0.631002 	 294.732532 	 295.685018 	 -66458.411948 	 -66458.411948 	 295.104836 	 295.293304
11:58:18.304 AM 6/24/2026 	 1.411071 	 0.609339 	 294.731766 	 295.686704 	 -66458.067585 	 -66458.067585 	 295.107198 	 295.286714
11:58:23.408 AM 6/24/2026 	 1.622921 	 -0.134988 	 294.731766 	 295.690843 	 -66457.747830 	 -66457.747830 	 295.123327 	 295.304721
11:58:28.508 AM 6/24/2026 	 1.343893 	 0.275588 	 294.732992 	 295.691456 	 -66457.409639 	 -66457.409639 	 295.113461 	 295.335370
11:58:33.601 AM 6/24/2026 	 0.994416 	 -0.726420 	 294.732226 	 295.692529 	 -66457.120650 	 -66457.120650 	 295.121704 	 295.304041
11:58:38.704 AM 6/24/2026 	 0.449694 	 0.837549 	 294.732532 	 295.692529 	 -66456.727147 	 -66456.727147 	 295.124336 	 295.309970
11:58:43.790 AM 6/24/2026 	 1.098076 	 -0.040279 	 294.731613 	 295.693755 	 -66456.468920 	 -66456.468920 	 295.110085 	 295.319277
11:58:48.881 AM 6/24/2026 	 2.173430 	 0.070300 	 294.732073 	 295.696054 	 -66455.995521 	 -66455.995521 	 295.124171 	 295.312160
11:58:53.975 AM 6/24/2026 	 1.853139 	 0.620170 	 294.732685 	 295.696208 	 -66455.755757 	 -66455.755757 	 295.141098 	 295.305056
11:58:59.059 AM 6/24/2026 	 0.901323 	 0.817146 	 294.731460 	 295.698660 	 -66455.442229 	 -66455.442229 	 295.128506 	 295.312725
11:59:04.139 AM 6/24/2026 	 1.908491 	 1.321929 	 294.731613 	 295.698507 	 -66455.110269 	 -66455.110269 	 295.112539 	 295.314194
11:59:09.217 AM 6/24/2026 	 1.512971 	 0.404051 	 294.732685 	 295.699273 	 -66454.686116 	 -66454.686116 	 295.124471 	 295.309163
11:59:14.305 AM 6/24/2026 	 2.589582 	 0.257201 	 294.732838 	 295.700960 	 -66454.268128 	 -66454.268128 	 295.109566 	 295.320643
11:59:19.393 AM 6/24/2026 	 1.478249 	 0.688684 	 294.733604 	 295.702033 	 -66453.813281 	 -66453.813281 	 295.109591 	 295.318784
11:59:24.492 AM 6/24/2026 	 1.619651 	 0.511607 	 294.733911 	 295.702952 	 -66453.383040 	 -66453.383040 	 295.124796 	 295.303364
11:59:29.596 AM 6/24/2026 	 2.320115 	 1.072812 	 294.733145 	 295.704792 	 -66452.768444 	 -66452.768444 	 295.111444 	 295.314041
11:59:34.695 AM 6/24/2026 	 1.343390 	 1.118908 	 294.733604 	 295.705711 	 -66452.289088 	 -66452.289088 	 295.124563 	 295.300776
11:59:39.798 AM 6/24/2026 	 1.610593 	 0.323951 	 294.733911 	 295.706018 	 -66451.729870 	 -66451.729870 	 295.126989 	 295.312621
11:59:44.880 AM 6/24/2026 	 0.305525 	 -0.149598 	 294.734524 	 295.706324 	 -66451.232132 	 -66451.232132 	 295.102804 	 295.314355
11:59:49.969 AM 6/24/2026 	 2.005359 	 0.115136 	 294.734983 	 295.706324 	 -66450.654544 	 -66450.654544 	 295.136728 	 295.328480
11:59:55.057 AM 6/24/2026 	 1.309675 	 0.393220 	 294.735443 	 295.707244 	 -66450.040128 	 -66450.040128 	 295.132801 	 295.310424
12:00:00.156 PM 6/24/2026 	 1.527815 	 0.336293 	 294.735443 	 295.706478 	 -66449.493332 	 -66449.493332 	 295.124438 	 295.341632
12:00:05.228 PM 6/24/2026 	 1.564801 	 1.410090 	 294.735902 	 295.706784 	 -66449.063290 	 -66449.063290 	 295.108071 	 295.319619
12:00:10.321 PM 6/24/2026 	 0.908871 	 0.784653 	 294.737281 	 295.706324 	 -66448.553408 	 -66448.553408 	 295.117766 	 295.313295
12:00:15.416 PM 6/24/2026 	 2.226518 	 0.892965 	 294.736362 	 295.706478 	 -66448.043554 	 -66448.043554 	 295.129347 	 295.311682
12:00:20.486 PM 6/24/2026 	 1.493597 	 0.178612 	 294.736668 	 295.706631 	 -66447.509159 	 -66447.509159 	 295.130931 	 295.317505
12:00:25.583 PM 6/24/2026 	 1.154939 	 0.415890 	 294.735902 	 295.709237 	 -66447.097634 	 -66447.097634 	 295.140558 	 295.318648
12:00:30.667 PM 6/24/2026 	 1.222117 	 0.641833 	 294.737434 	 295.709084 	 -66446.477310 	 -66446.477310 	 295.127653 	 295.327417
12:00:35.747 PM 6/24/2026 	 1.128269 	 0.777600 	 294.737128 	 295.708470 	 -66445.930722 	 -66445.930722 	 295.158875 	 295.309167
12:00:40.840 PM 6/24/2026 	 1.575620 	 0.283397 	 294.736668 	 295.708624 	 -66445.402588 	 -66445.402588 	 295.113832 	 295.311718
12:00:45.924 PM 6/24/2026 	 1.284011 	 0.313875 	 294.737128 	 295.708317 	 -66444.751674 	 -66444.751674 	 295.124365 	 295.312354
12:00:51.014 PM 6/24/2026 	 0.900568 	 1.136792 	 294.737587 	 295.708624 	 -66444.254308 	 -66444.254308 	 295.123744 	 295.333402
12:00:56.090 PM 6/24/2026 	 1.511209 	 0.551405 	 294.736515 	 295.707704 	 -66443.671011 	 -66443.671011 	 295.119945 	 295.309820
12:01:01.167 PM 6/24/2026 	 1.452083 	 0.471053 	 294.738353 	 295.706018 	 -66443.050914 	 -66443.050914 	 295.129189 	 295.310111
12:01:06.253 PM 6/24/2026 	 1.070652 	 0.333271 	 294.737281 	 295.705558 	 -66442.504526 	 -66442.504526 	 295.120357 	 295.313058
12:01:11.331 PM 6/24/2026 	 1.659907 	 0.222440 	 294.737741 	 295.706171 	 -66442.056388 	 -66442.056388 	 295.119937 	 295.312639
12:01:16.410 PM 6/24/2026 	 0.305274 	 1.292206 	 294.737434 	 295.706324 	 -66441.651242 	 -66441.651242 	 295.112154 	 295.299206
12:01:21.491 PM 6/24/2026 	 1.114179 	 0.510599 	 294.738200 	 295.703872 	 -66441.252251 	 -66441.252251 	 295.124188 	 295.328193
