Timestamp	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
12:00:01.805 AM 2026-09-04 	 5.541929 	 297.647000 	 44.546000 	 -118.751599 	 5.529350 	 297.647000 	 44.546000 	 -118.751599 	 111.546100 	 108.473601 	 299.057229
12:00:06.930 AM 2026-09-04 	 5.550002 	 297.647000 	 44.546000 	 -119.235395 	 5.541072 	 297.647000 	 44.546000 	 -119.235395 	 111.546636 	 108.473541 	 299.057678
12:00:12.066 AM 2026-09-04 	 5.543246 	 297.647000 	 44.546000 	 -119.186377 	 5.526678 	 297.647000 	 44.546000 	 -119.186377 	 111.546696 	 108.473422 	 299.058303
12:00:17.234 AM 2026-09-04 	 5.548619 	 297.647000 	 44.546000 	 -119.557636 	 5.535504 	 297.647000 	 44.546000 	 -119.557636 	 111.547411 	 108.473065 	 299.058453
12:00:22.358 AM 2026-09-04 	 5.557165 	 297.647000 	 44.546000 	 -119.964176 	 5.538973 	 297.647000 	 44.546000 	 -119.964176 	 111.547947 	 108.473005 	 299.058752
12:00:27.465 AM 2026-09-04 	 5.550653 	 297.647000 	 44.546000 	 -118.609858 	 5.533683 	 297.647000 	 44.546000 	 -118.609858 	 111.548185 	 108.472886 	 299.059452
12:00:32.621 AM 2026-09-04 	 5.558108 	 297.647000 	 44.546000 	 -119.232796 	 5.533309 	 297.647000 	 44.546000 	 -119.232796 	 111.548423 	 108.472707 	 299.060076
12:00:37.786 AM 2026-09-04 	 5.544355 	 297.647000 	 44.546000 	 -118.813646 	 5.533989 	 297.647000 	 44.546000 	 -118.813646 	 111.549138 	 108.472350 	 299.060526
12:00:42.925 AM 2026-09-04 	 5.547446 	 297.647000 	 44.546000 	 -120.645905 	 5.533694 	 297.647000 	 44.546000 	 -120.645905 	 111.549555 	 108.472350 	 299.060875
12:00:48.044 AM 2026-09-04 	 5.546406 	 297.647000 	 44.546000 	 -118.868202 	 5.531201 	 297.647000 	 44.546000 	 -118.868202 	 111.550448 	 108.471873 	 299.061650
12:00:53.225 AM 2026-09-04 	 5.533555 	 297.647000 	 44.546000 	 -119.185128 	 5.533084 	 297.647000 	 44.546000 	 -119.185128 	 111.550329 	 108.471933 	 299.062074
12:00:58.411 AM 2026-09-04 	 5.550247 	 297.647000 	 44.546000 	 -119.355361 	 5.529604 	 297.647000 	 44.546000 	 -119.355361 	 111.550270 	 108.471754 	 299.062024
12:01:03.499 AM 2026-09-04 	 5.544080 	 297.647000 	 44.546000 	 -119.048224 	 5.533151 	 297.647000 	 44.546000 	 -119.048224 	 111.550329 	 108.471397 	 299.061849
12:01:08.592 AM 2026-09-04 	 5.545534 	 297.647000 	 44.546000 	 -120.258341 	 5.530161 	 297.647000 	 44.546000 	 -120.258341 	 111.551163 	 108.471337 	 299.062024
12:01:13.730 AM 2026-09-04 	 5.542793 	 297.647000 	 44.546000 	 -119.024983 	 5.526442 	 297.647000 	 44.546000 	 -119.024983 	 111.550984 	 108.471933 	 299.061899
12:01:18.856 AM 2026-09-04 	 5.549331 	 297.647000 	 44.546000 	 -118.225925 	 5.530999 	 297.647000 	 44.546000 	 -118.225925 	 111.551342 	 108.471278 	 299.061924
12:01:24.049 AM 2026-09-04 	 5.544898 	 297.647000 	 44.546000 	 -119.689107 	 5.524579 	 297.647000 	 44.546000 	 -119.689107 	 111.551639 	 108.471218 	 299.062074
12:01:29.162 AM 2026-09-04 	 5.553998 	 297.647000 	 44.546000 	 -119.561990 	 5.536144 	 297.647000 	 44.546000 	 -119.561990 	 111.552056 	 108.471039 	 299.062099
12:01:34.223 AM 2026-09-04 	 5.550779 	 297.647000 	 44.546000 	 -118.748342 	 5.527989 	 297.647000 	 44.546000 	 -118.748342 	 111.552533 	 108.470622 	 299.062449
12:01:39.323 AM 2026-09-04 	 5.541287 	 297.647000 	 44.546000 	 -119.584934 	 5.532281 	 297.647000 	 44.546000 	 -119.584934 	 111.552354 	 108.470563 	 299.062524
12:01:44.462 AM 2026-09-04 	 5.553219 	 297.647000 	 44.546000 	 -119.181468 	 5.535817 	 297.647000 	 44.546000 	 -119.181468 	 111.552950 	 108.470920 	 299.062624
12:01:49.609 AM 2026-09-04 	 5.552571 	 297.647000 	 44.546000 	 -119.624393 	 5.533881 	 297.647000 	 44.546000 	 -119.624393 	 111.552533 	 108.470503 	 299.063048
12:01:54.738 AM 2026-09-04 	 5.540219 	 297.647000 	 44.546000 	 -119.384733 	 5.535770 	 297.647000 	 44.546000 	 -119.384733 	 111.552116 	 108.470206 	 299.062774
12:01:59.825 AM 2026-09-04 	 5.555522 	 297.647000 	 44.546000 	 -119.384733 	 5.537029 	 297.647000 	 44.546000 	 -119.384733 	 111.551520 	 108.470682 	 299.062774
12:02:04.949 AM 2026-09-04 	 5.561563 	 297.647000 	 44.546000 	 -119.414699 	 5.539960 	 297.647000 	 44.546000 	 -119.414699 	 111.550567 	 108.470563 	 299.062574
12:02:10.059 AM 2026-09-04 	 5.552282 	 297.647000 	 44.546000 	 -119.033355 	 5.534915 	 297.647000 	 44.546000 	 -119.033355 	 111.549674 	 108.470622 	 299.062649
12:02:15.209 AM 2026-09-04 	 5.541036 	 297.647000 	 44.546000 	 -119.637021 	 5.544994 	 297.647000 	 44.546000 	 -119.637021 	 111.549317 	 108.470325 	 299.062299
12:02:20.347 AM 2026-09-04 	 5.553522 	 297.647000 	 44.546000 	 -119.450269 	 5.538731 	 297.647000 	 44.546000 	 -119.450269 	 111.549257 	 108.469669 	 299.062249
12:02:25.526 AM 2026-09-04 	 5.551713 	 297.647000 	 44.546000 	 -119.487784 	 5.534304 	 297.647000 	 44.546000 	 -119.487784 	 111.549197 	 108.470206 	 299.062349
12:02:30.651 AM 2026-09-04 	 5.548797 	 297.647000 	 44.546000 	 -119.059958 	 5.526272 	 297.647000 	 44.546000 	 -119.059958 	 111.548602 	 108.470086 	 299.062524
