Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
5:51:08.914 AM 2026-08-31 	 91.051112 	 89.561651 	 303.019589 	 294.906131 	 -66293.212227 	 -66293.212227 	 295.035490 	 295.121737
5:51:14.075 AM 2026-08-31 	 90.476198 	 88.650574 	 303.019589 	 294.911341 	 -66293.030905 	 -66293.030905 	 295.025792 	 295.102614
5:51:19.217 AM 2026-08-31 	 90.039666 	 88.495412 	 303.018668 	 294.915785 	 -66292.903981 	 -66292.903981 	 295.017730 	 295.091726
5:51:24.350 AM 2026-08-31 	 89.866060 	 88.755108 	 303.014982 	 294.920536 	 -66292.903981 	 -66292.903981 	 295.040354 	 295.101623
5:51:29.499 AM 2026-08-31 	 90.003939 	 89.786587 	 303.012524 	 294.922221 	 -66292.795190 	 -66292.795190 	 295.046978 	 295.109189
5:51:34.621 AM 2026-08-31 	 91.007837 	 89.354852 	 303.010221 	 294.922681 	 -66292.680357 	 -66292.680357 	 295.030011 	 295.088453
5:51:39.736 AM 2026-08-31 	 91.208113 	 89.216566 	 303.006842 	 294.924673 	 -66292.728708 	 -66292.728708 	 295.018897 	 295.097606
5:51:44.859 AM 2026-08-31 	 90.402730 	 88.904477 	 303.003156 	 294.923141 	 -66292.662225 	 -66292.662225 	 295.020038 	 295.132677
5:51:50.012 AM 2026-08-31 	 90.060801 	 88.642010 	 303.002388 	 294.922681 	 -66292.644094 	 -66292.644094 	 295.031276 	 295.100558
5:51:55.192 AM 2026-08-31 	 90.912227 	 89.503214 	 303.002235 	 294.923907 	 -66292.583656 	 -66292.583656 	 295.044697 	 295.138010
5:52:00.309 AM 2026-08-31 	 89.993623 	 88.747047 	 303.002542 	 294.923141 	 -66292.613875 	 -66292.613875 	 294.992030 	 295.120698
5:52:05.380 AM 2026-08-31 	 91.225977 	 89.291124 	 303.004999 	 294.925593 	 -66292.632007 	 -66292.632007 	 295.044895 	 295.105221
5:52:10.498 AM 2026-08-31 	 90.538093 	 88.756115 	 303.005306 	 294.927432 	 -66292.589700 	 -66292.589700 	 295.016913 	 295.097507
5:52:15.592 AM 2026-08-31 	 89.954373 	 89.127145 	 303.008071 	 294.927432 	 -66292.571569 	 -66292.571569 	 295.011654 	 295.123824
5:52:20.756 AM 2026-08-31 	 90.084955 	 89.490619 	 303.010989 	 294.925746 	 -66292.547394 	 -66292.547394 	 295.029937 	 295.101104
5:52:25.900 AM 2026-08-31 	 90.485005 	 89.257623 	 303.009914 	 294.925440 	 -66292.541350 	 -66292.541350 	 295.030855 	 295.124171
5:52:31.076 AM 2026-08-31 	 90.673707 	 89.730416 	 303.005460 	 294.927125 	 -66292.541350 	 -66292.541350 	 295.035097 	 295.118987
5:52:36.211 AM 2026-08-31 	 90.891596 	 88.825888 	 303.001006 	 294.927892 	 -66292.511132 	 -66292.511132 	 295.030260 	 295.121220
5:52:41.366 AM 2026-08-31 	 90.680249 	 89.432433 	 303.000852 	 294.927892 	 -66292.390258 	 -66292.390258 	 295.025523 	 295.122138
5:52:46.476 AM 2026-08-31 	 90.592439 	 88.255111 	 303.001006 	 294.927432 	 -66292.190821 	 -66292.190821 	 295.027062 	 295.137343
5:52:51.598 AM 2026-08-31 	 90.175532 	 89.114047 	 302.999163 	 294.928045 	 -66292.136429 	 -66292.136429 	 295.033438 	 295.110730
5:52:56.775 AM 2026-08-31 	 90.667165 	 88.533699 	 302.999163 	 294.927432 	 -66291.900737 	 -66291.900737 	 295.041427 	 295.105994
5:53:01.907 AM 2026-08-31 	 90.312405 	 88.673496 	 303.000085 	 294.927279 	 -66291.695266 	 -66291.695266 	 295.031158 	 295.130129
5:53:07.005 AM 2026-08-31 	 90.431413 	 88.734201 	 303.000238 	 294.926512 	 -66291.495843 	 -66291.495843 	 295.021856 	 295.102921
5:53:12.122 AM 2026-08-31 	 89.941541 	 88.761153 	 302.999624 	 294.926359 	 -66291.211824 	 -66291.211824 	 295.039074 	 295.117780
5:53:17.232 AM 2026-08-31 	 90.270135 	 89.151075 	 303.002235 	 294.925133 	 -66291.012411 	 -66291.012411 	 295.009034 	 295.117434
5:53:22.368 AM 2026-08-31 	 90.315675 	 88.401961 	 303.004385 	 294.924827 	 -66290.758619 	 -66290.758619 	 295.042401 	 295.113566
5:53:27.518 AM 2026-08-31 	 91.662257 	 88.471482 	 303.007917 	 294.924980 	 -66290.577343 	 -66290.577343 	 295.031760 	 295.109996
