Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
5:25:26.540 PM 2026-07-29 	 1.487056 	 0.004809 	 295.685516 	 296.115157 	 -66351.511269 	 -66351.511269 	 295.921139 	 295.697152
5:25:32.957 PM 2026-07-29 	 1.760800 	 1.215129 	 295.685209 	 296.109944 	 -66351.663262 	 -66351.663262 	 295.925524 	 295.720836
5:25:38.183 PM 2026-07-29 	 1.958309 	 0.172818 	 295.686435 	 296.106418 	 -66351.724059 	 -66351.724059 	 295.914481 	 295.722967
5:25:43.348 PM 2026-07-29 	 1.663681 	 1.045105 	 295.684749 	 296.099980 	 -66351.815257 	 -66351.815257 	 295.906386 	 295.724282
5:25:48.489 PM 2026-07-29 	 1.537125 	 1.620164 	 295.684903 	 296.094921 	 -66351.991575 	 -66351.991575 	 295.918868 	 295.711824
5:25:53.675 PM 2026-07-29 	 1.043227 	 0.467778 	 295.685362 	 296.091242 	 -66352.052375 	 -66352.052375 	 295.919117 	 295.725251
5:25:58.882 PM 2026-07-29 	 1.224130 	 0.530498 	 295.684443 	 296.086183 	 -66352.101015 	 -66352.101015 	 295.915081 	 295.699564
5:26:04.036 PM 2026-07-29 	 1.519512 	 1.153164 	 295.684443 	 296.080204 	 -66352.131415 	 -66352.131415 	 295.911913 	 295.726045
5:26:09.139 PM 2026-07-29 	 1.172803 	 1.556688 	 295.684136 	 296.075298 	 -66351.967255 	 -66351.967255 	 295.921121 	 295.709372
5:26:14.259 PM 2026-07-29 	 2.089646 	 1.454170 	 295.683523 	 296.069779 	 -66351.724059 	 -66351.724059 	 295.898956 	 295.727674
5:26:19.399 PM 2026-07-29 	 1.817159 	 1.263491 	 295.682144 	 296.065334 	 -66351.547747 	 -66351.547747 	 295.926463 	 295.718481
5:26:24.513 PM 2026-07-29 	 1.883834 	 1.272559 	 295.682144 	 296.060122 	 -66351.073543 	 -66351.073543 	 295.916526 	 295.711364
5:26:29.586 PM 2026-07-29 	 1.855906 	 1.241073 	 295.683370 	 296.059508 	 -66350.678391 	 -66350.678391 	 295.921497 	 295.730457
5:26:34.658 PM 2026-07-29 	 1.763568 	 1.150897 	 295.681838 	 296.057822 	 -66350.222467 	 -66350.222467 	 295.928101 	 295.712590
5:26:39.754 PM 2026-07-29 	 2.040080 	 0.812361 	 295.682298 	 296.054449 	 -66349.730094 	 -66349.730094 	 295.898332 	 295.709635
5:26:44.858 PM 2026-07-29 	 0.578012 	 0.770295 	 295.681225 	 296.049391 	 -66349.243825 	 -66349.243825 	 295.925512 	 295.705763
5:26:49.963 PM 2026-07-29 	 0.976300 	 1.166011 	 295.681838 	 296.044178 	 -66348.787970 	 -66348.787970 	 295.926000 	 295.737786
5:26:55.034 PM 2026-07-29 	 1.649591 	 0.607324 	 295.681225 	 296.038353 	 -66348.301749 	 -66348.301749 	 295.927776 	 295.718854
5:27:00.114 PM 2026-07-29 	 1.770613 	 0.300777 	 295.678926 	 296.032681 	 -66347.760858 	 -66347.760858 	 295.921331 	 295.726054
5:27:05.227 PM 2026-07-29 	 2.130154 	 0.707575 	 295.679233 	 296.029002 	 -66347.335460 	 -66347.335460 	 295.909242 	 295.713019
5:27:10.340 PM 2026-07-29 	 2.535739 	 1.171048 	 295.679539 	 296.028848 	 -66346.806777 	 -66346.806777 	 295.913196 	 295.700502
5:27:15.438 PM 2026-07-29 	 1.970889 	 1.343843 	 295.679233 	 296.025169 	 -66346.357117 	 -66346.357117 	 295.917474 	 295.726431
5:27:20.558 PM 2026-07-29 	 2.301244 	 0.617903 	 295.679693 	 296.021030 	 -66345.858869 	 -66345.858869 	 295.931902 	 295.705097
5:27:25.659 PM 2026-07-29 	 1.321249 	 0.117907 	 295.677701 	 296.017198 	 -66345.360648 	 -66345.360648 	 295.909165 	 295.709177
5:27:30.747 PM 2026-07-29 	 1.854145 	 1.256690 	 295.678007 	 296.014592 	 -66344.935357 	 -66344.935357 	 295.934713 	 295.706026
5:27:35.849 PM 2026-07-29 	 2.116567 	 0.436796 	 295.677854 	 296.012139 	 -66344.315683 	 -66344.315683 	 295.917595 	 295.705845
5:27:40.913 PM 2026-07-29 	 1.969883 	 0.520927 	 295.677241 	 296.011986 	 -66343.817543 	 -66343.817543 	 295.925909 	 295.716985
5:27:46.030 PM 2026-07-29 	 1.942709 	 0.130753 	 295.676781 	 296.014592 	 -66343.258686 	 -66343.258686 	 295.906687 	 295.703874
5:27:51.169 PM 2026-07-29 	 2.377732 	 0.462489 	 295.676781 	 296.016125 	 -66342.657343 	 -66342.657343 	 295.920695 	 295.715534
