Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
12:00:00.194 AM 2026-08-22 	 114.898596 	 113.544365 	 289.616901 	 295.695135 	 -66384.268270 	 -66384.268270 	 295.893662 	 295.717672
12:00:05.344 AM 2026-08-22 	 114.185049 	 114.222447 	 289.616289 	 295.693142 	 -66384.335377 	 -66384.335377 	 295.887820 	 295.710415
12:00:10.441 AM 2026-08-22 	 115.278015 	 113.606330 	 289.614607 	 295.691916 	 -66384.469593 	 -66384.469593 	 295.895897 	 295.718024
12:00:15.588 AM 2026-08-22 	 114.291226 	 112.832028 	 289.614301 	 295.688850 	 -66384.658719 	 -66384.658719 	 295.885848 	 295.735740
12:00:20.673 AM 2026-08-22 	 114.828147 	 113.327490 	 289.614913 	 295.683025 	 -66384.762435 	 -66384.762435 	 295.876863 	 295.732870
12:00:25.781 AM 2026-08-22 	 114.976342 	 112.910616 	 289.616748 	 295.672296 	 -66384.896657 	 -66384.896657 	 295.901406 	 295.732477
12:00:30.864 AM 2026-08-22 	 115.721340 	 113.553433 	 289.618583 	 295.663252 	 -66384.945465 	 -66384.945465 	 295.888902 	 295.704908
12:00:36.003 AM 2026-08-22 	 115.171838 	 114.299272 	 289.623325 	 295.658807 	 -66385.085791 	 -66385.085791 	 295.880536 	 295.736074
12:00:41.115 AM 2026-08-22 	 115.126298 	 112.730769 	 289.625772 	 295.659880 	 -66385.220018 	 -66385.220018 	 295.891906 	 295.722504
12:00:46.275 AM 2026-08-22 	 114.838463 	 113.601040 	 289.626078 	 295.658807 	 -66385.262726 	 -66385.262726 	 295.886435 	 295.756093
12:00:51.406 AM 2026-08-22 	 115.263170 	 113.240085 	 289.627302 	 295.656661 	 -66385.451868 	 -66385.451868 	 295.889090 	 295.739924
12:00:56.532 AM 2026-08-22 	 114.955459 	 113.488194 	 289.629596 	 295.653442 	 -66385.421361 	 -66385.421361 	 295.872969 	 295.733681
12:01:01.700 AM 2026-08-22 	 114.619568 	 113.819930 	 289.634185 	 295.652676 	 -66385.500679 	 -66385.500679 	 295.900110 	 295.728828
12:01:06.839 AM 2026-08-22 	 114.571512 	 113.574088 	 289.633726 	 295.654668 	 -66385.537288 	 -66385.537288 	 295.879088 	 295.716741
12:01:11.979 AM 2026-08-22 	 115.221655 	 112.562508 	 289.635102 	 295.656508 	 -66385.543390 	 -66385.543390 	 295.901226 	 295.741710
12:01:17.061 AM 2026-08-22 	 114.368719 	 113.871819 	 289.634949 	 295.654668 	 -66385.439665 	 -66385.439665 	 295.904095 	 295.744580
