Timestamp	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
12:00:03.491 AM 2026-08-12 	 4.024905 	 297.647000 	 44.546000 	 -102.153006 	 4.013402 	 297.647000 	 44.546000 	 -102.153006 	 108.832606 	 108.646757 	 298.657322
12:00:08.643 AM 2026-08-12 	 4.024336 	 297.647000 	 44.546000 	 -102.226948 	 4.017703 	 297.647000 	 44.546000 	 -102.226948 	 108.832249 	 108.646757 	 298.657545
12:00:13.764 AM 2026-08-12 	 4.027716 	 297.647000 	 44.546000 	 -102.497397 	 4.007790 	 297.647000 	 44.546000 	 -102.497397 	 108.831713 	 108.647294 	 298.658065
12:00:18.873 AM 2026-08-12 	 4.036203 	 297.647000 	 44.546000 	 -102.291817 	 4.001054 	 297.647000 	 44.546000 	 -102.291817 	 108.832070 	 108.646877 	 298.658907
12:00:23.963 AM 2026-08-12 	 4.018180 	 297.647000 	 44.546000 	 -102.382203 	 4.014862 	 297.647000 	 44.546000 	 -102.382203 	 108.831713 	 108.647770 	 298.659700
12:00:29.047 AM 2026-08-12 	 4.025457 	 297.647000 	 44.546000 	 -102.513445 	 4.005326 	 297.647000 	 44.546000 	 -102.513445 	 108.832427 	 108.647889 	 298.660517
12:00:34.140 AM 2026-08-12 	 4.007553 	 297.647000 	 44.546000 	 -103.006937 	 4.015086 	 297.647000 	 44.546000 	 -103.006937 	 108.832130 	 108.647591 	 298.661211
12:00:39.239 AM 2026-08-12 	 4.029998 	 297.647000 	 44.546000 	 -102.596064 	 3.999539 	 297.647000 	 44.546000 	 -102.596064 	 108.831951 	 108.646460 	 298.661483
12:00:44.309 AM 2026-08-12 	 4.023495 	 297.647000 	 44.546000 	 -102.899603 	 4.009600 	 297.647000 	 44.546000 	 -102.899603 	 108.832308 	 108.646519 	 298.662201
12:00:49.417 AM 2026-08-12 	 4.018572 	 297.647000 	 44.546000 	 -102.942678 	 4.004742 	 297.647000 	 44.546000 	 -102.942678 	 108.832308 	 108.646162 	 298.662177
12:00:54.489 AM 2026-08-12 	 4.029365 	 297.647000 	 44.546000 	 -102.426895 	 4.014821 	 297.647000 	 44.546000 	 -102.426895 	 108.832427 	 108.647055 	 298.662449
12:00:59.594 AM 2026-08-12 	 4.027485 	 297.647000 	 44.546000 	 -101.915564 	 4.024511 	 297.647000 	 44.546000 	 -101.915564 	 108.832249 	 108.646579 	 298.662623
12:01:04.684 AM 2026-08-12 	 4.028533 	 297.647000 	 44.546000 	 -102.419128 	 4.018070 	 297.647000 	 44.546000 	 -102.419128 	 108.832666 	 108.646817 	 298.662623
12:01:09.821 AM 2026-08-12 	 4.024642 	 297.647000 	 44.546000 	 -102.959122 	 4.016923 	 297.647000 	 44.546000 	 -102.959122 	 108.832546 	 108.646638 	 298.662746
12:01:14.893 AM 2026-08-12 	 4.030465 	 297.647000 	 44.546000 	 -102.327432 	 4.007991 	 297.647000 	 44.546000 	 -102.327432 	 108.832189 	 108.646281 	 298.662796
12:01:19.974 AM 2026-08-12 	 4.026417 	 297.647000 	 44.546000 	 -101.967412 	 4.022126 	 297.647000 	 44.546000 	 -101.967412 	 108.832070 	 108.645924 	 298.662870
12:01:25.068 AM 2026-08-12 	 4.030089 	 297.647000 	 44.546000 	 -102.573670 	 4.016543 	 297.647000 	 44.546000 	 -102.573670 	 108.832666 	 108.645804 	 298.662920
12:01:30.168 AM 2026-08-12 	 4.028866 	 297.647000 	 44.546000 	 -102.081198 	 4.013411 	 297.647000 	 44.546000 	 -102.081198 	 108.832189 	 108.645387 	 298.662672
12:01:35.266 AM 2026-08-12 	 4.022561 	 297.647000 	 44.546000 	 -102.326323 	 4.011396 	 297.647000 	 44.546000 	 -102.326323 	 108.832368 	 108.645626 	 298.662821
12:01:40.415 AM 2026-08-12 	 4.026805 	 297.647000 	 44.546000 	 -103.376559 	 3.999650 	 297.647000 	 44.546000 	 -103.376559 	 108.832427 	 108.645149 	 298.662796
12:01:45.514 AM 2026-08-12 	 4.036119 	 297.647000 	 44.546000 	 -102.297674 	 4.008450 	 297.647000 	 44.546000 	 -102.297674 	 108.831832 	 108.645030 	 298.662523
