Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
12:00:04.828 AM 2026-09-06 	 140.119836 	 139.919003 	 302.866781 	 295.524689 	 -66418.649957 	 -66418.649957 	 295.551780 	 295.477856
12:00:09.896 AM 2026-09-06 	 140.889491 	 140.084241 	 302.866935 	 295.524689 	 -66418.698951 	 -66418.698951 	 295.556688 	 295.488886
12:00:14.964 AM 2026-09-06 	 140.753877 	 139.463842 	 302.868624 	 295.524536 	 -66418.747945 	 -66418.747945 	 295.531464 	 295.486732
12:00:20.026 AM 2026-09-06 	 140.653990 	 139.288529 	 302.868317 	 295.526375 	 -66418.784690 	 -66418.784690 	 295.528318 	 295.488766
12:00:25.092 AM 2026-09-06 	 140.659274 	 139.365606 	 302.868778 	 295.526988 	 -66418.717323 	 -66418.717323 	 295.544522 	 295.471068
12:00:30.168 AM 2026-09-06 	 140.549826 	 138.360323 	 302.868471 	 295.527601 	 -66418.686702 	 -66418.686702 	 295.558521 	 295.476593
12:00:35.224 AM 2026-09-06 	 140.861814 	 139.574673 	 302.871849 	 295.527448 	 -66418.631584 	 -66418.631584 	 295.546526 	 295.473542
12:00:40.294 AM 2026-09-06 	 140.649210 	 140.034368 	 302.872003 	 295.529287 	 -66418.809187 	 -66418.809187 	 295.564672 	 295.480390
12:00:45.371 AM 2026-09-06 	 141.649585 	 139.236640 	 302.871389 	 295.526222 	 -66418.741820 	 -66418.741820 	 295.538501 	 295.465517
12:00:50.458 AM 2026-09-06 	 141.271173 	 139.779206 	 302.873385 	 295.526681 	 -66418.619336 	 -66418.619336 	 295.539413 	 295.479143
12:00:55.556 AM 2026-09-06 	 140.593102 	 139.596839 	 302.873078 	 295.527141 	 -66418.619336 	 -66418.619336 	 295.542238 	 295.455127
12:01:00.646 AM 2026-09-06 	 140.824829 	 138.899111 	 302.874153 	 295.526681 	 -66418.478481 	 -66418.478481 	 295.562378 	 295.468208
12:01:05.747 AM 2026-09-06 	 140.080082 	 139.238907 	 302.873539 	 295.526222 	 -66418.460109 	 -66418.460109 	 295.545354 	 295.487910
12:01:10.829 AM 2026-09-06 	 140.958430 	 139.440417 	 302.873385 	 295.525149 	 -66418.362124 	 -66418.362124 	 295.547778 	 295.492689
12:01:15.924 AM 2026-09-06 	 140.843951 	 140.095576 	 302.872310 	 295.525608 	 -66418.276388 	 -66418.276388 	 295.526240 	 295.474916
12:01:21.008 AM 2026-09-06 	 140.500512 	 138.768381 	 302.872157 	 295.525915 	 -66418.227397 	 -66418.227397 	 295.556644 	 295.488371
12:01:26.100 AM 2026-09-06 	 140.692989 	 139.570391 	 302.873385 	 295.525455 	 -66418.147786 	 -66418.147786 	 295.540781 	 295.505939
12:01:31.183 AM 2026-09-06 	 140.262998 	 139.710440 	 302.875996 	 295.524995 	 -66418.049804 	 -66418.049804 	 295.552622 	 295.475402
12:01:36.279 AM 2026-09-06 	 140.542026 	 139.760314 	 302.874460 	 295.525149 	 -66417.982443 	 -66417.982443 	 295.551405 	 295.486899
12:01:41.369 AM 2026-09-06 	 141.585678 	 139.814974 	 302.874921 	 295.524382 	 -66417.841597 	 -66417.841597 	 295.532938 	 295.480672
12:01:46.452 AM 2026-09-06 	 140.602914 	 139.553011 	 302.877071 	 295.524076 	 -66417.694630 	 -66417.694630 	 295.549287 	 295.472066
12:01:51.549 AM 2026-09-06 	 140.314325 	 139.833865 	 302.876610 	 295.523156 	 -66417.706877 	 -66417.706877 	 295.557341 	 295.480121
12:01:56.629 AM 2026-09-06 	 140.886723 	 139.432608 	 302.878299 	 295.523156 	 -66417.682383 	 -66417.682383 	 295.541233 	 295.489910
12:02:01.706 AM 2026-09-06 	 141.425658 	 139.866107 	 302.878453 	 295.522236 	 -66417.755866 	 -66417.755866 	 295.529762 	 295.454422
12:02:06.795 AM 2026-09-06 	 139.795267 	 139.242181 	 302.879989 	 295.520397 	 -66417.749743 	 -66417.749743 	 295.533504 	 295.487360
12:02:11.897 AM 2026-09-06 	 140.661790 	 139.450241 	 302.880449 	 295.521470 	 -66417.945700 	 -66417.945700 	 295.544663 	 295.471209
12:02:16.995 AM 2026-09-06 	 140.548065 	 138.641933 	 302.879835 	 295.519324 	 -66417.957948 	 -66417.957948 	 295.542830 	 295.459957
12:02:22.084 AM 2026-09-06 	 140.913645 	 139.549988 	 302.879989 	 295.519018 	 -66418.019185 	 -66418.019185 	 295.531781 	 295.467742
12:02:27.176 AM 2026-09-06 	 140.378987 	 139.731095 	 302.878299 	 295.518711 	 -66418.202901 	 -66418.202901 	 295.554190 	 295.463314
12:02:32.277 AM 2026-09-06 	 140.769728 	 139.443943 	 302.875382 	 295.519018 	 -66418.356000 	 -66418.356000 	 295.547753 	 295.465352
12:02:37.374 AM 2026-09-06 	 141.085238 	 138.953266 	 302.872924 	 295.519477 	 -66418.417240 	 -66418.417240 	 295.548945 	 295.459481
12:02:42.460 AM 2026-09-06 	 141.402259 	 139.358050 	 302.870160 	 295.519477 	 -66418.662205 	 -66418.662205 	 295.532055 	 295.472255
12:02:47.555 AM 2026-09-06 	 141.346654 	 139.368629 	 302.869546 	 295.521163 	 -66418.882679 	 -66418.882679 	 295.535781 	 295.475982
12:02:52.635 AM 2026-09-06 	 140.231296 	 139.634118 	 302.870621 	 295.521010 	 -66419.023541 	 -66419.023541 	 295.550953 	 295.453954
12:02:57.721 AM 2026-09-06 	 142.037054 	 138.656795 	 302.869546 	 295.520091 	 -66419.225649 	 -66419.225649 	 295.526354 	 295.453368
12:03:02.798 AM 2026-09-06 	 140.765450 	 139.934620 	 302.870928 	 295.519171 	 -66419.384890 	 -66419.384890 	 295.526534 	 295.456845
12:03:07.884 AM 2026-09-06 	 140.212426 	 139.687770 	 302.870774 	 295.517791 	 -66419.501259 	 -66419.501259 	 295.549139 	 295.470506
12:03:12.963 AM 2026-09-06 	 140.998435 	 138.698356 	 302.870774 	 295.515492 	 -66419.691129 	 -66419.691129 	 295.561215 	 295.472224
12:03:18.043 AM 2026-09-06 	 140.712110 	 138.697601 	 302.869239 	 295.513193 	 -66419.893252 	 -66419.893252 	 295.568632 	 295.475876
12:03:23.139 AM 2026-09-06 	 140.682170 	 139.627821 	 302.869699 	 295.513960 	 -66420.003503 	 -66420.003503 	 295.545542 	 295.469734
12:03:28.220 AM 2026-09-06 	 140.665061 	 139.544950 	 302.870774 	 295.512427 	 -66420.107630 	 -66420.107630 	 295.521485 	 295.465451
12:03:33.321 AM 2026-09-06 	 140.673363 	 139.617746 	 302.868932 	 295.511967 	 -66420.211758 	 -66420.211758 	 295.540744 	 295.480474
12:03:38.413 AM 2026-09-06 	 141.045485 	 138.438912 	 302.869239 	 295.512427 	 -66420.211758 	 -66420.211758 	 295.529915 	 295.467760
12:03:43.506 AM 2026-09-06 	 141.033408 	 138.634125 	 302.868778 	 295.513040 	 -66420.346514 	 -66420.346514 	 295.537999 	 295.451358
