Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
12:00:03.521 AM 2026-08-23 	 91.532933 	 90.853583 	 289.595488 	 295.546454 	 -66349.935510 	 -66349.935510 	 295.731654 	 295.658229
12:00:08.669 AM 2026-08-23 	 91.331902 	 90.899174 	 289.595335 	 295.549060 	 -66350.008452 	 -66350.008452 	 295.732423 	 295.652408
12:00:13.760 AM 2026-08-23 	 91.108226 	 90.677261 	 289.594876 	 295.554271 	 -66349.984138 	 -66349.984138 	 295.713969 	 295.658899
12:00:18.856 AM 2026-08-23 	 92.113634 	 90.521343 	 289.594570 	 295.558409 	 -66349.990216 	 -66349.990216 	 295.721524 	 295.639624
12:00:23.958 AM 2026-08-23 	 91.853476 	 91.371211 	 289.594417 	 295.564234 	 -66349.971981 	 -66349.971981 	 295.730391 	 295.644257
12:00:29.074 AM 2026-08-23 	 90.811083 	 89.713288 	 289.593041 	 295.570058 	 -66350.026688 	 -66350.026688 	 295.727321 	 295.642598
12:00:34.211 AM 2026-08-23 	 92.006451 	 91.100936 	 289.591358 	 295.573890 	 -66349.965903 	 -66349.965903 	 295.725190 	 295.657412
12:00:39.287 AM 2026-08-23 	 92.078913 	 90.639226 	 289.590135 	 295.577109 	 -66349.965903 	 -66349.965903 	 295.716718 	 295.659295
12:00:44.414 AM 2026-08-23 	 92.670684 	 91.458868 	 289.588911 	 295.576649 	 -66350.057080 	 -66350.057080 	 295.733563 	 295.663433
12:00:49.517 AM 2026-08-23 	 92.793718 	 90.270463 	 289.587840 	 295.575117 	 -66350.178652 	 -66350.178652 	 295.722295 	 295.645573
12:00:54.621 AM 2026-08-23 	 92.299317 	 90.602703 	 289.587687 	 295.576036 	 -66350.227281 	 -66350.227281 	 295.713080 	 295.652362
12:00:59.763 AM 2026-08-23 	 91.896500 	 90.559126 	 289.589523 	 295.578642 	 -66350.178652 	 -66350.178652 	 295.723706 	 295.632863
12:01:04.960 AM 2026-08-23 	 92.145084 	 90.778268 	 289.591052 	 295.582780 	 -66350.348854 	 -66350.348854 	 295.717343 	 295.646269
12:01:10.046 AM 2026-08-23 	 91.828064 	 90.069457 	 289.589064 	 295.588298 	 -66350.482587 	 -66350.482587 	 295.723538 	 295.666115
