Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
12:00:00.285 AM 2026-08-05 	 1.234697 	 1.096742 	 295.555422 	 295.106429 	 -66345.542921 	 -66345.542921 	 295.083530 	 295.070334
12:00:05.397 AM 2026-08-05 	 1.902201 	 0.367275 	 295.556034 	 295.106735 	 -66345.269512 	 -66345.269512 	 295.109744 	 295.077226
12:00:10.491 AM 2026-08-05 	 1.570588 	 0.742840 	 295.556494 	 295.106582 	 -66345.117622 	 -66345.117622 	 295.098283 	 295.070006
12:00:15.620 AM 2026-08-05 	 2.444658 	 0.381633 	 295.556034 	 295.107502 	 -66345.099396 	 -66345.099396 	 295.098680 	 295.068046
12:00:20.753 AM 2026-08-05 	 1.338861 	 1.154928 	 295.555422 	 295.107808 	 -66344.959659 	 -66344.959659 	 295.079256 	 295.058047
12:00:25.901 AM 2026-08-05 	 1.885092 	 0.609339 	 295.555115 	 295.107502 	 -66345.008263 	 -66345.008263 	 295.089823 	 295.068615
12:00:31.045 AM 2026-08-05 	 1.953277 	 0.086169 	 295.556494 	 295.108574 	 -66344.917131 	 -66344.917131 	 295.091806 	 295.065414
12:00:36.199 AM 2026-08-05 	 2.069266 	 -0.674531 	 295.556494 	 295.108574 	 -66344.911056 	 -66344.911056 	 295.052664 	 295.071045
12:00:41.360 AM 2026-08-05 	 2.668837 	 0.693470 	 295.555728 	 295.110720 	 -66344.917131 	 -66344.917131 	 295.075312 	 295.058816
12:00:46.497 AM 2026-08-05 	 1.494100 	 1.246111 	 295.556188 	 295.110873 	 -66344.807774 	 -66344.807774 	 295.095129 	 295.061667
12:00:51.643 AM 2026-08-05 	 2.760924 	 1.447621 	 295.555268 	 295.112712 	 -66344.813850 	 -66344.813850 	 295.065462 	 295.080073
12:00:56.808 AM 2026-08-05 	 1.931387 	 1.108328 	 295.556494 	 295.113019 	 -66344.728795 	 -66344.728795 	 295.078782 	 295.077839
12:01:01.945 AM 2026-08-05 	 1.804076 	 0.814124 	 295.555728 	 295.112866 	 -66344.710569 	 -66344.710569 	 295.109811 	 295.063626
12:01:07.103 AM 2026-08-05 	 1.621412 	 0.903292 	 295.556494 	 295.114551 	 -66344.698418 	 -66344.698418 	 295.059334 	 295.101279
