Timestamp	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
12:00:04.259 AM 2026-09-07 	 5.585996 	 297.647000 	 44.546000 	 -109.319082 	 5.586659 	 297.647000 	 44.546000 	 -109.319082 	 111.593153 	 108.676183 	 298.761997
12:00:09.332 AM 2026-09-07 	 5.592154 	 297.647000 	 44.546000 	 -110.036872 	 5.571978 	 297.647000 	 44.546000 	 -110.036872 	 111.591962 	 108.676123 	 298.762841
12:00:14.403 AM 2026-09-07 	 5.595403 	 297.647000 	 44.546000 	 -109.286518 	 5.578743 	 297.647000 	 44.546000 	 -109.286518 	 111.590711 	 108.676183 	 298.763660
12:00:19.473 AM 2026-09-07 	 5.592811 	 297.647000 	 44.546000 	 -110.874764 	 5.580489 	 297.647000 	 44.546000 	 -110.874764 	 111.589698 	 108.676481 	 298.764752
12:00:24.541 AM 2026-09-07 	 5.590330 	 297.647000 	 44.546000 	 -109.553059 	 5.577146 	 297.647000 	 44.546000 	 -109.553059 	 111.589281 	 108.676600 	 298.766142
12:00:29.609 AM 2026-09-07 	 5.583258 	 297.647000 	 44.546000 	 -108.843585 	 5.574588 	 297.647000 	 44.546000 	 -108.843585 	 111.589162 	 108.676421 	 298.766986
12:00:34.677 AM 2026-09-07 	 5.591118 	 297.647000 	 44.546000 	 -108.892894 	 5.580907 	 297.647000 	 44.546000 	 -108.892894 	 111.588805 	 108.676778 	 298.768227
12:00:39.742 AM 2026-09-07 	 5.584954 	 297.647000 	 44.546000 	 -110.250368 	 5.568331 	 297.647000 	 44.546000 	 -110.250368 	 111.588984 	 108.676600 	 298.768848
12:00:44.819 AM 2026-09-07 	 5.591918 	 297.647000 	 44.546000 	 -109.242569 	 5.577368 	 297.647000 	 44.546000 	 -109.242569 	 111.588567 	 108.676898 	 298.769791
12:00:49.907 AM 2026-09-07 	 5.595838 	 297.647000 	 44.546000 	 -109.661086 	 5.572632 	 297.647000 	 44.546000 	 -109.661086 	 111.588388 	 108.676540 	 298.770287
12:00:54.995 AM 2026-09-07 	 5.595960 	 297.647000 	 44.546000 	 -109.558057 	 5.577949 	 297.647000 	 44.546000 	 -109.558057 	 111.588805 	 108.676778 	 298.771181
12:01:00.081 AM 2026-09-07 	 5.602002 	 297.647000 	 44.546000 	 -109.504797 	 5.579748 	 297.647000 	 44.546000 	 -109.504797 	 111.589937 	 108.676302 	 298.771901
12:01:05.175 AM 2026-09-07 	 5.589224 	 297.647000 	 44.546000 	 -109.276947 	 5.571993 	 297.647000 	 44.546000 	 -109.276947 	 111.590711 	 108.676421 	 298.772770
12:01:10.259 AM 2026-09-07 	 5.599223 	 297.647000 	 44.546000 	 -108.757638 	 5.576886 	 297.647000 	 44.546000 	 -108.757638 	 111.590889 	 108.676183 	 298.773117
12:01:15.344 AM 2026-09-07 	 5.587966 	 297.647000 	 44.546000 	 -109.801368 	 5.584787 	 297.647000 	 44.546000 	 -109.801368 	 111.591068 	 108.675885 	 298.773713
12:01:20.433 AM 2026-09-07 	 5.596030 	 297.647000 	 44.546000 	 -109.471905 	 5.584189 	 297.647000 	 44.546000 	 -109.471905 	 111.591426 	 108.675825 	 298.774508
12:01:25.527 AM 2026-09-07 	 5.593698 	 297.647000 	 44.546000 	 -109.868322 	 5.581003 	 297.647000 	 44.546000 	 -109.868322 	 111.591128 	 108.676004 	 298.775029
12:01:30.631 AM 2026-09-07 	 5.584820 	 297.647000 	 44.546000 	 -110.094601 	 5.576574 	 297.647000 	 44.546000 	 -110.094601 	 111.590830 	 108.675408 	 298.775600
12:01:35.724 AM 2026-09-07 	 5.590756 	 297.647000 	 44.546000 	 -109.332148 	 5.586279 	 297.647000 	 44.546000 	 -109.332148 	 111.590830 	 108.675408 	 298.776221
12:01:40.807 AM 2026-09-07 	 5.591235 	 297.647000 	 44.546000 	 -109.470012 	 5.577254 	 297.647000 	 44.546000 	 -109.470012 	 111.591128 	 108.675051 	 298.776891
12:01:45.891 AM 2026-09-07 	 5.585981 	 297.647000 	 44.546000 	 -109.416748 	 5.580445 	 297.647000 	 44.546000 	 -109.416748 	 111.591306 	 108.674932 	 298.777611
12:01:50.981 AM 2026-09-07 	 5.601871 	 297.647000 	 44.546000 	 -109.385742 	 5.588548 	 297.647000 	 44.546000 	 -109.385742 	 111.590949 	 108.674396 	 298.777835
12:01:56.065 AM 2026-09-07 	 5.592583 	 297.647000 	 44.546000 	 -109.281753 	 5.588057 	 297.647000 	 44.546000 	 -109.281753 	 111.591068 	 108.673979 	 298.778281
12:02:01.149 AM 2026-09-07 	 5.576317 	 297.647000 	 44.546000 	 -108.944819 	 5.584717 	 297.647000 	 44.546000 	 -108.944819 	 111.591247 	 108.674217 	 298.778306
12:02:06.230 AM 2026-09-07 	 5.595412 	 297.647000 	 44.546000 	 -108.983300 	 5.584726 	 297.647000 	 44.546000 	 -108.983300 	 111.591426 	 108.673741 	 298.778853
12:02:11.312 AM 2026-09-07 	 5.587330 	 297.647000 	 44.546000 	 -108.933532 	 5.579578 	 297.647000 	 44.546000 	 -108.933532 	 111.592081 	 108.673800 	 298.779026
12:02:16.400 AM 2026-09-07 	 5.592630 	 297.647000 	 44.546000 	 -109.764190 	 5.586232 	 297.647000 	 44.546000 	 -109.764190 	 111.591664 	 108.673205 	 298.779225
12:02:21.477 AM 2026-09-07 	 5.596702 	 297.647000 	 44.546000 	 -109.854826 	 5.584139 	 297.647000 	 44.546000 	 -109.854826 	 111.591068 	 108.673145 	 298.779076
12:02:26.561 AM 2026-09-07 	 5.590196 	 297.647000 	 44.546000 	 -109.559861 	 5.583806 	 297.647000 	 44.546000 	 -109.559861 	 111.591723 	 108.672907 	 298.779101
12:02:31.663 AM 2026-09-07 	 5.592531 	 297.647000 	 44.546000 	 -109.805056 	 5.581853 	 297.647000 	 44.546000 	 -109.805056 	 111.591366 	 108.672251 	 298.779250
12:02:36.748 AM 2026-09-07 	 5.595680 	 297.647000 	 44.546000 	 -108.772301 	 5.576875 	 297.647000 	 44.546000 	 -108.772301 	 111.591604 	 108.672192 	 298.778877
12:02:41.829 AM 2026-09-07 	 5.586965 	 297.647000 	 44.546000 	 -109.720300 	 5.576968 	 297.647000 	 44.546000 	 -109.720300 	 111.591545 	 108.671656 	 298.778331
12:02:46.923 AM 2026-09-07 	 5.597437 	 297.647000 	 44.546000 	 -109.234367 	 5.590816 	 297.647000 	 44.546000 	 -109.234367 	 111.591485 	 108.670941 	 298.777934
12:02:52.012 AM 2026-09-07 	 5.598038 	 297.647000 	 44.546000 	 -109.179191 	 5.575053 	 297.647000 	 44.546000 	 -109.179191 	 111.592081 	 108.670345 	 298.777760
