Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
12:00:02.430 AM 2026-08-01 	 2.201609 	 0.668533 	 295.758916 	 295.466138 	 -66344.151659 	 -53007.022497 	 295.447650 	 295.383130
12:00:07.559 AM 2026-08-01 	 2.028003 	 0.212616 	 295.758763 	 295.465372 	 -66344.103059 	 -52918.617506 	 295.451690 	 295.366446
12:00:12.722 AM 2026-08-01 	 1.015299 	 1.182383 	 295.759376 	 295.466905 	 -66344.188108 	 -52833.118841 	 295.453921 	 295.365852
12:00:17.852 AM 2026-08-01 	 2.967491 	 0.810849 	 295.757997 	 295.468131 	 -66344.206333 	 -52751.494207 	 295.469065 	 295.356506
12:00:23.009 AM 2026-08-01 	 1.860184 	 1.143593 	 295.757997 	 295.467671 	 -66344.242783 	 -52671.512314 	 295.460738 	 295.372670
12:00:28.136 AM 2026-08-01 	 2.158837 	 -0.041286 	 295.758763 	 295.470583 	 -66344.321758 	 -52578.339263 	 295.451172 	 295.378645
12:00:33.310 AM 2026-08-01 	 1.956296 	 0.256697 	 295.759529 	 295.470890 	 -66344.358209 	 -52491.347749 	 295.456972 	 295.373613
12:00:38.448 AM 2026-08-01 	 2.450949 	 0.484655 	 295.759835 	 295.471656 	 -66344.388584 	 -52412.916330 	 295.450503 	 295.356781
12:00:43.599 AM 2026-08-01 	 1.965354 	 0.272314 	 295.760448 	 295.472423 	 -66344.364284 	 -52332.070314 	 295.456526 	 295.367515
12:00:48.726 AM 2026-08-01 	 2.253440 	 0.429995 	 295.758303 	 295.473036 	 -66344.358209 	 -52245.754572 	 295.427775 	 295.372671
12:00:53.868 AM 2026-08-01 	 2.414214 	 0.068033 	 295.758456 	 295.470890 	 -66344.279233 	 -52171.314978 	 295.448172 	 295.364341
12:00:59.011 AM 2026-08-01 	 1.963341 	 0.175589 	 295.760602 	 295.471350 	 -66344.333908 	 -52090.176311 	 295.470529 	 295.357029
12:01:04.157 AM 2026-08-01 	 1.283005 	 0.377855 	 295.759376 	 295.469357 	 -66344.273158 	 -52002.160113 	 295.443909 	 295.369026
12:01:09.301 AM 2026-08-01 	 1.720795 	 0.362993 	 295.759682 	 295.467365 	 -66344.370359 	 -51925.038698 	 295.441481 	 295.368953
12:01:14.437 AM 2026-08-01 	 1.964599 	 0.616392 	 295.759222 	 295.467365 	 -66344.437185 	 -51845.162915 	 295.445993 	 295.364987
12:01:19.562 AM 2026-08-01 	 3.005483 	 0.883645 	 295.758916 	 295.467365 	 -66344.412884 	 -51766.534408 	 295.454841 	 295.371482
12:01:24.705 AM 2026-08-01 	 2.237840 	 0.469038 	 295.758609 	 295.467058 	 -66344.558688 	 -51690.957500 	 295.460147 	 295.380557
12:01:29.848 AM 2026-08-01 	 1.538131 	 1.170041 	 295.758303 	 295.465985 	 -66344.510086 	 -51612.405952 	 295.447233 	 295.360576
12:01:34.980 AM 2026-08-01 	 1.923588 	 0.534025 	 295.758916 	 295.466445 	 -66344.613365 	 -51534.449715 	 295.466493 	 295.342158
12:01:40.099 AM 2026-08-01 	 1.769858 	 1.653917 	 295.757843 	 295.465525 	 -66344.625515 	 -51456.889364 	 295.448648 	 295.363874
12:01:45.209 AM 2026-08-01 	 2.375719 	 0.607828 	 295.758916 	 295.466905 	 -66344.674117 	 -51378.986669 	 295.448376 	 295.345233
12:01:50.330 AM 2026-08-01 	 1.913020 	 1.104802 	 295.759835 	 295.466292 	 -66344.777397 	 -51297.120019 	 295.434670 	 295.348953
12:01:55.454 AM 2026-08-01 	 2.484915 	 0.199518 	 295.758456 	 295.465525 	 -66344.838151 	 -51228.275174 	 295.453756 	 295.365687
12:02:00.593 AM 2026-08-01 	 1.640030 	 1.380115 	 295.758456 	 295.466598 	 -66344.868528 	 -51151.198019 	 295.443520 	 295.375231
12:02:05.755 AM 2026-08-01 	 2.020707 	 0.720925 	 295.758456 	 295.466292 	 -66345.002188 	 -51077.923762 	 295.467142 	 295.358351
12:02:10.892 AM 2026-08-01 	 1.839552 	 0.839313 	 295.758609 	 295.467518 	 -66345.032565 	 -51008.179803 	 295.429593 	 295.356591
12:02:16.069 AM 2026-08-01 	 1.349177 	 1.974318 	 295.759069 	 295.466905 	 -66345.111547 	 -50932.431622 	 295.455817 	 295.365393
12:02:21.210 AM 2026-08-01 	 1.851629 	 0.342590 	 295.757843 	 295.466138 	 -66345.135849 	 -50856.823637 	 295.453091 	 295.355601
12:02:26.326 AM 2026-08-01 	 2.545048 	 0.268032 	 295.758150 	 295.466138 	 -66345.178378 	 -50782.801909 	 295.462683 	 295.355775
12:02:31.495 AM 2026-08-01 	 1.583671 	 0.882133 	 295.758456 	 295.465065 	 -66345.233059 	 -50714.791880 	 295.447838 	 295.371542
12:02:36.666 AM 2026-08-01 	 1.895911 	 0.522690 	 295.758303 	 295.462307 	 -66345.269512 	 -50647.856833 	 295.446574 	 295.373575
12:02:41.815 AM 2026-08-01 	 2.147766 	 0.426721 	 295.758763 	 295.461387 	 -66345.287739 	 -50575.538606 	 295.451358 	 295.374121
12:02:46.983 AM 2026-08-01 	 2.193055 	 0.832512 	 295.756924 	 295.460621 	 -66345.360648 	 -50509.335028 	 295.462487 	 295.379129
12:02:52.133 AM 2026-08-01 	 1.324268 	 0.939060 	 295.757384 	 295.459241 	 -66345.330269 	 -50446.983989 	 295.449177 	 295.358281
12:02:57.281 AM 2026-08-01 	 0.801436 	 1.052409 	 295.758763 	 295.458168 	 -66345.427481 	 -50378.087402 	 295.462290 	 295.369512
12:03:02.414 AM 2026-08-01 	 2.146005 	 0.321936 	 295.757384 	 295.456636 	 -66345.482163 	 -50312.906073 	 295.471461 	 295.355135
12:03:07.551 AM 2026-08-01 	 1.882073 	 1.177094 	 295.757230 	 295.453570 	 -66345.524693 	 -50251.727832 	 295.440084 	 295.367555
12:03:12.708 AM 2026-08-01 	 1.410316 	 0.217906 	 295.757690 	 295.451731 	 -66345.567224 	 -50177.874030 	 295.459565 	 295.359722
12:03:17.842 AM 2026-08-01 	 2.168398 	 0.352666 	 295.756311 	 295.451424 	 -66345.555072 	 -50107.908522 	 295.472701 	 295.349781
12:03:22.991 AM 2026-08-01 	 2.246898 	 -0.004259 	 295.757230 	 295.450505 	 -66345.542921 	 -50051.095347 	 295.426501 	 295.358680
