Timestamp	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
12:00:02.332 AM 2026-07-30 	 4.030716 	 297.647000 	 44.546000 	 -104.787275 	 4.007927 	 297.647000 	 44.546000 	 -104.787275 	 108.800980 	 108.643005 	 298.707648
12:00:07.468 AM 2026-07-30 	 4.020375 	 297.647000 	 44.546000 	 -104.847018 	 4.013431 	 297.647000 	 44.546000 	 -104.847018 	 108.800741 	 108.642767 	 298.707251
12:00:12.581 AM 2026-07-30 	 4.023600 	 297.647000 	 44.546000 	 -104.802828 	 4.009227 	 297.647000 	 44.546000 	 -104.802828 	 108.801039 	 108.641754 	 298.707300
12:00:17.747 AM 2026-07-30 	 4.025387 	 297.647000 	 44.546000 	 -104.708892 	 4.009860 	 297.647000 	 44.546000 	 -104.708892 	 108.800801 	 108.640801 	 298.707524
12:00:22.885 AM 2026-07-30 	 4.025842 	 297.647000 	 44.546000 	 -105.122041 	 4.002120 	 297.647000 	 44.546000 	 -105.122041 	 108.800980 	 108.640146 	 298.707201
12:00:28.034 AM 2026-07-30 	 4.026507 	 297.647000 	 44.546000 	 -105.457801 	 4.020725 	 297.647000 	 44.546000 	 -105.457801 	 108.800980 	 108.639788 	 298.707201
12:00:33.154 AM 2026-07-30 	 4.028983 	 297.647000 	 44.546000 	 -105.501993 	 4.003621 	 297.647000 	 44.546000 	 -105.501993 	 108.800741 	 108.640027 	 298.707152
12:00:38.281 AM 2026-07-30 	 4.025501 	 297.647000 	 44.546000 	 -104.941943 	 4.008751 	 297.647000 	 44.546000 	 -104.941943 	 108.800682 	 108.639967 	 298.707474
12:00:43.426 AM 2026-07-30 	 4.030401 	 297.647000 	 44.546000 	 -104.641618 	 4.021983 	 297.647000 	 44.546000 	 -104.641618 	 108.801039 	 108.639550 	 298.707152
12:00:48.564 AM 2026-07-30 	 4.025460 	 297.647000 	 44.546000 	 -103.981116 	 4.002190 	 297.647000 	 44.546000 	 -103.981116 	 108.800861 	 108.639610 	 298.707375
12:00:53.704 AM 2026-07-30 	 4.037237 	 297.647000 	 44.546000 	 -104.567556 	 4.004453 	 297.647000 	 44.546000 	 -104.567556 	 108.800324 	 108.639729 	 298.707400
